sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-2024-12-17_naive_0_generated_,o1-2024-12-17_naive_1_generated_,o1-2024-12-17_naive_2_generated_,o1-2024-12-17_naive_0_generated,o1-2024-12-17_naive_0_property,o1-2024-12-17_naive_0_combination_relevance,o1-2024-12-17_naive_0_root_relevance,o1-2024-12-17_naive_0_modifier_relevance,o1-2024-12-17_naive_0_indiv_max,o1-2024-12-17_naive_0_emergence,o1-2024-12-17_naive_1_generated,o1-2024-12-17_naive_1_property,o1-2024-12-17_naive_1_combination_relevance,o1-2024-12-17_naive_1_root_relevance,o1-2024-12-17_naive_1_modifier_relevance,o1-2024-12-17_naive_1_indiv_max,o1-2024-12-17_naive_1_emergence,o1-2024-12-17_naive_2_generated,o1-2024-12-17_naive_2_property,o1-2024-12-17_naive_2_combination_relevance,o1-2024-12-17_naive_2_root_relevance,o1-2024-12-17_naive_2_modifier_relevance,o1-2024-12-17_naive_2_indiv_max,o1-2024-12-17_naive_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"['{""property"": ""neglected""}']","['{""property"": ""anchored""}']","['{""property"": ""embedded""}']",{'property': 'neglected'},neglected,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.11111111111111116,{'property': 'anchored'},anchored,0.7777777777777778,1.0,0.5555555555555556,1.0,0.0,{'property': 'embedded'},embedded,1.0,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"['{""property"": ""absurd""}']","['{""property"": ""absurd""}']","['{""property"": ""paradoxical""}']",{'property': 'absurd'},absurd,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.11111111111111116,{'property': 'absurd'},absurd,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'paradoxical'},paradoxical,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"['{""property"": ""decorative""}']","['{""property"": ""ornamental""}']","['{""property"": ""ornamental""}']",{'property': 'decorative'},decorative,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'ornamental'},ornamental,1.0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.6666666666666667,{'property': 'ornamental'},ornamental,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""mythical""}']","['{""property"": ""rare""}']","['{""property"": ""rare""}']",{'property': 'mythical'},mythical,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444445,{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""resilient""}']","['{""property"": ""resilient""}']","['{""property"": ""resourceful""}']",{'property': 'resilient'},resilient,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.2222222222222222,{'property': 'resilient'},resilient,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,{'property': 'resourceful'},resourceful,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""lethargic""}']","['{""property"": ""sluggish""}']","['{""property"": ""sluggish""}']",{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'sluggish'},sluggish,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'sluggish'},sluggish,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""unconventional beverage""}']","['{""property"": ""unorthodox""}']","['{""property"": ""off-putting""}']",{'property': 'unconventional beverage'},unconventional beverage,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'unorthodox'},unorthodox,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,{'property': 'off-putting'},off-putting,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""tragic""}']","['{""property"": ""unseaworthy""}']","['{""property"": ""maritime emergency""}']",{'property': 'tragic'},tragic,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666667,{'property': 'unseaworthy'},unseaworthy,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'maritime emergency'},maritime emergency,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""contradictory""}']","['{""property"": ""volatile synergy""}']","['{""property"": ""conflict""}']",{'property': 'contradictory'},contradictory,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,{'property': 'volatile synergy'},volatile synergy,0.5555555555555556,0.6666666666666666,0.0,0.6666666666666666,0.0,{'property': 'conflict'},conflict,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""inevitable attraction""}']","['{""property"": ""self-destructive fixation""}']","['{""property"": ""spellbound""}']",{'property': 'inevitable attraction'},inevitable attraction,1.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.11111111111111116,{'property': 'self-destructive fixation'},self-destructive fixation,0.8888888888888888,0.5555555555555556,0.0,0.5555555555555556,0.33333333333333326,{'property': 'spellbound'},spellbound,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
She somehow lifted upwards like a witch on a broom somewhere around the column,a witch on a broom,witch,broom,flying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 4, 2)",0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,False,0.6666666666666666,"['{""property"": ""flight""}']","['{""property"": ""spellbinding flight""}']","['{""property"": ""supernatural flight""}']",{'property': 'flight'},flight,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,{'property': 'spellbinding flight'},spellbinding flight,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,{'property': 'supernatural flight'},supernatural flight,1.0,0.8888888888888888,0.0,0.8888888888888888,0.11111111111111116
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""property"": ""freedom""}']","['{""property"": ""liberation""}']","['{""property"": ""self-mastery""}']",{'property': 'freedom'},freedom,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,{'property': 'liberation'},liberation,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.5555555555555556,{'property': 'self-mastery'},self-mastery,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
It is as likely as snow in hell.,snow in hell,snow,hell,unlikely,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""paradoxical""}']","['{""property"": ""impossible""}']","['{""property"": ""paradoxical""}']",{'property': 'paradoxical'},paradoxical,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'impossible'},impossible,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,{'property': 'paradoxical'},paradoxical,1.0,0.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
"But then you are to go around like a wet cat, and mope, and hang on worse then ever.",a wet cat,cat,wet,miserable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 4)",0.4444444444444445,0.7777777777777778,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""agitated""}']","['{""property"": ""awkward""}']","['{""property"": ""awkward""}']",{'property': 'agitated'},agitated,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'awkward'},awkward,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'awkward'},awkward,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""hidden complexity""}']","['{""property"": ""nesting""}']","['{""property"": ""nesting""}']",{'property': 'hidden complexity'},hidden complexity,0.7777777777777778,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'nesting'},nesting,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'nesting'},nesting,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.33333333333333337
"We do so like the smell of sheep, they said to which the old man replied, Yis, mum, an seea deea Ah bud Ah leykes t teeast on em betther!",the smell of sheep,smell,sheep,earthy,emergent,"(component, emergent, emergent)","(5, 4, 5)","(3, 3, 3)","(4, 3, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""barnyard nostalgia""}']","['{""property"": ""countryside nostalgia""}']","['{""property"": ""pastoral nostalgia""}']",{'property': 'barnyard nostalgia'},barnyard nostalgia,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'countryside nostalgia'},countryside nostalgia,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0,{'property': 'pastoral nostalgia'},pastoral nostalgia,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.11111111111111116
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""rare""}']","['{""property"": ""rare""}']","['{""property"": ""rare""}']",{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556
"The old man didn't go after him, and fight for four years, at a cost uv half his substance, to subdue him and bring him back, but when he hed run through his pile, and squandered his share uv the estate, and got hungry, he came back like a whipped dog.",a whipped dog,dog,whip,helpless,emergent,"(emergent, emergent, component)","(4, 5, 3)","(1, 4, 4)","(1, 3, 2)",0.6666666666666667,0.7777777777777778,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""submissive""}']","['{""property"": ""broken-spirited""}']","['{""property"": ""broken-spirited""}']",{'property': 'submissive'},submissive,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,{'property': 'broken-spirited'},broken-spirited,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'broken-spirited'},broken-spirited,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""property"": ""reserved""}']","['{""property"": ""strictly enforced""}']","['{""property"": ""privileged""}']",{'property': 'reserved'},reserved,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,{'property': 'strictly enforced'},strictly enforced,0.6666666666666666,0.0,0.5555555555555556,0.5555555555555556,0.11111111111111105,{'property': 'privileged'},privileged,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
"He was husky, but also fat like a watermelon with paws. ",a watermelon with paws,watermelon,paw,strange,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 2)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""bizarre""}']","['{""property"": ""baffling""}']","['{""property"": ""chimeric""}']",{'property': 'bizarre'},bizarre,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'baffling'},baffling,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,{'property': 'chimeric'},chimeric,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""intense rivalry""}']","['{""property"": ""eternal struggle""}']","['{""property"": ""dramatic tension""}']",{'property': 'intense rivalry'},intense rivalry,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778,{'property': 'eternal struggle'},eternal struggle,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444445,{'property': 'dramatic tension'},dramatic tension,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,0.0
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""controversial""}']","['{""property"": ""lost knowledge""}']","['{""property"": ""controversial""}']",{'property': 'controversial'},controversial,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,{'property': 'lost knowledge'},lost knowledge,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'controversial'},controversial,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0
"The bars played freely like keys on a ring, and splayed out in their flight, and did the most dreadful execution.",keys on a ring,key,ring,jingly,emergent,"(emergent, emergent, component)","(5, 5, 4)","(2, 2, 3)","(1, 3, 2)",0.0,0.7777777777777778,0.7777777777777778,0.3333333333333333,False,0.7777777777777778,"['{""property"": ""organized""}']","['{""property"": ""organized""}']","['{""property"": ""organized""}']",{'property': 'organized'},organized,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'organized'},organized,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'organized'},organized,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""morbid""}']","['{""property"": ""unsettling""}']","['{""property"": ""ephemeral captivity""}']",{'property': 'morbid'},morbid,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'unsettling'},unsettling,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.0,{'property': 'ephemeral captivity'},ephemeral captivity,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""paradoxical""}']","['{""property"": ""contradictory""}']","['{""property"": ""contradictory""}']",{'property': 'paradoxical'},paradoxical,1.0,0.0,0.0,0.0,1.0,{'property': 'contradictory'},contradictory,1.0,0.0,0.0,0.0,1.0,{'property': 'contradictory'},contradictory,1.0,0.0,0.0,0.0,1.0
