combination,property,human_label_majority,gpt-4o_generated_
the guys at the job,hard-working,emergent,"['{""property_type"": ""others""}']"
a ball down the hill,move,emergent,"['{""property_type"": ""emergent""}']"
the rest of the planet,non,emergent,"['{""property_type"": ""others""}']"
a dictionary without words,unhelpful,emergent,"['{""property_type"": ""emergent""}']"
mormon missionaries,uniformed,emergent,"['{""property_type"": ""component""}']"
the old campground,abandon,emergent,"['{""property_type"": ""emergent""}']"
a mechanical bird,imitative,emergent,"['{""property_type"": ""emergent""}']"
the face of the judge,cold,emergent,"['{""property_type"": ""others""}']"
a pitching boat,unsteady,emergent,"['{""property_type"": ""emergent""}']"
a barred up door,forbid,emergent,"['{""property_type"": ""emergent""}']"
dusk from dawn,opposite,emergent,"['{""property_type"": ""emergent""}']"
a polite cough,soft,emergent,"['{""property_type"": ""emergent""}']"
a cardboard lifeboat,impractical,emergent,"['{""property_type"": ""emergent""}']"
one surgeon on a battlefield,isolate,emergent,"['{""property_type"": ""emergent""}']"
a wall of text,overwhelm,emergent,"['{""property_type"": ""emergent""}']"
a brick through a window,destructive,emergent,"['{""property_type"": ""emergent""}']"
a cracked bell and,dissonant,emergent,"['{""property_type"": ""emergent""}']"
vegetables vs twinkies,well,emergent,"['{""property_type"": ""others""}']"
a pained giggle,incongruous,emergent,"['{""property_type"": ""emergent""}']"
an hour or more,lengthy,emergent,"['{""property_type"": ""emergent""}']"
an animal into the brush,stealthy,emergent,"['{""property_type"": ""emergent""}']"
two pies to the face and,humorous,emergent,"['{""property_type"": ""emergent""}']"
the cable company,unreliable,emergent,"['{""property_type"": ""component""}']"
the minds of mushrooms,vacant,emergent,"['{""property_type"": ""emergent""}']"
a train to the face,violent,emergent,"['{""property_type"": ""emergent""}']"
a wet fuse,ineffective,emergent,"['{""property_type"": ""emergent""}']"
witch trials,punitive,emergent,"['{""property_type"": ""emergent""}']"
the edge of a scallop,wavy,emergent,"['{""property_type"": ""component""}']"
scorpions in a bottle,constrain,emergent,"['{""property_type"": ""emergent""}']"
a stone from a slingshot,fast,emergent,"['{""property_type"": ""emergent""}']"
the paternal nature,nurturing,emergent,"['{""property_type"": ""emergent""}']"
trained monkeys,obedient,emergent,"['{""property_type"": ""emergent""}']"
the key date,significant,emergent,"['{""property_type"": ""emergent""}']"
a broken foot,painful,emergent,"['{""property_type"": ""emergent""}']"
an acid trip,surreal,emergent,"['{""property_type"": ""emergent""}']"
a stone from a catapult,swift,emergent,"['{""property_type"": ""emergent""}']"
a one storied apartment,single,emergent,"['{""property_type"": ""component""}']"
a steak to a vegan,unwanted,emergent,"['{""property_type"": ""emergent""}']"
a stuffed crocodile,lifeless,emergent,"['{""property_type"": ""emergent""}']"
bacon soda,unappealing taste,emergent,"['{""property_type"": ""emergent""}']"
a damp firework,disappointing,emergent,"['{""property_type"": ""emergent""}']"
the blinking light,distracting,emergent,"['{""property_type"": ""emergent""}']"
an exchange of amenities,polite,emergent,"['{""property_type"": ""emergent""}']"
pork for muslim,forbid,emergent,"['{""property_type"": ""others""}']"
a jewel in a gutter,unexpected,emergent,"['{""property_type"": ""emergent""}']"
an apple on a toothpick,unstable,emergent,"['{""property_type"": ""emergent""}']"
a tiptoeing cannonball,absurd,emergent,"['{""property_type"": ""emergent""}']"
a pub without beer,undesirable,emergent,"['{""property_type"": ""emergent""}']"
talking sponges,not real,emergent,"['{""property_type"": ""emergent""}']"
factory operatives,exploit,emergent,"['{""property_type"": ""emergent""}']"
a wilting violet,timid,emergent,"['{""property_type"": ""emergent""}']"
an honest politician,rare,emergent,"['{""property_type"": ""emergent""}']"
jousting windmills,futile,emergent,"['{""property_type"": ""emergent""}']"
shifting blame,irresponsible,emergent,"['{""property_type"": ""emergent""}']"
the stained glass,artistic,emergent,"['{""property_type"": ""emergent""}']"
a die no wavering,steadfastness,emergent,"['{""property_type"": ""emergent""}']"
a porter at a coronation,unnoticed,emergent,"['{""property_type"": ""emergent""}']"
stamped silver,texture,emergent,"['{""property_type"": ""emergent""}']"
a lead cheese,unpleasant,emergent,"['{""property_type"": ""emergent""}']"
stuffed sacks,heavy,emergent,"['{""property_type"": ""emergent""}']"
swelled head,conceite,emergent,"['{""property_type"": ""emergent""}']"
lucid fools,clear-thinking,emergent,"['{""property_type"": ""canceled""}']"
the sky between stars,empty,emergent,"['{""property_type"": ""emergent""}']"
a snake's path,irregular,emergent,"['{""property_type"": ""emergent""}']"
a church on a weekday,emptiness,emergent,"['{""property_type"": ""emergent""}']"
not swallowing poison,advisable,emergent,"['{""property_type"": ""emergent""}']"
a box of frogs,unpredictable,emergent,"['{""property_type"": ""emergent""}']"
stuffed sacks,unwieldy,emergent,"['{""property_type"": ""emergent""}']"
snow beneath the sun,melted,emergent,"['{""property_type"": ""emergent""}']"
a stream of consciousness,unstructured,emergent,"['{""property_type"": ""emergent""}']"
a cod in a pot,helpless,emergent,"['{""property_type"": ""emergent""}']"
apples to oranges,incomparable,emergent,"['{""property_type"": ""emergent""}']"
a psychiatric facility,confine,emergent,"['{""property_type"": ""emergent""}']"
the hills in summer,golden,emergent,"['{""property_type"": ""emergent""}']"
healthy cancer,contradictory,emergent,"['{""property_type"": ""emergent""}']"
a corpse 's mouth,gape,emergent,"['{""property_type"": ""emergent""}']"
a dying fish,pathetic,emergent,"['{""property_type"": ""emergent""}']"
night from day,dissimilar,emergent,"['{""property_type"": ""emergent""}']"
a hog in slop,happy,emergent,"['{""property_type"": ""emergent""}']"
"the old days ,",cherish,emergent,"['{""property_type"": ""emergent""}']"
a moth to a flame,irresistibly,emergent,"['{""property_type"": ""emergent""}']"
a bat to the kneecaps,unpleasant,emergent,"['{""property_type"": ""emergent""}']"
a softer sound,subdue,emergent,"['{""property_type"": ""emergent""}']"
illuminated manuscripts,ornate,emergent,"['{""property_type"": ""component""}']"
"the dollar menu,",affordable,emergent,"['{""property_type"": ""emergent""}']"
any two things in nature,dissimilar,emergent,"['{""property_type"": ""emergent""}']"
a wall of iron,impenetrable,emergent,"['{""property_type"": ""component""}']"
drinking mouthwash,disgust,emergent,"['{""property_type"": ""emergent""}']"
a whipped dog,helpless,emergent,"['{""property_type"": ""emergent""}']"
not swallowing poison,obvious,emergent,"['{""property_type"": ""emergent""}']"
ice on a pond,thin,emergent,"['{""property_type"": ""emergent""}']"
lukewarm beer,unpleasant,emergent,"['{""property_type"": ""emergent""}']"
wet leather,malleable,emergent,"['{""property_type"": ""emergent""}']"
a side consideration,minor,emergent,"['{""property_type"": ""emergent""}']"
a tooth of iron,menacing,emergent,"['{""property_type"": ""emergent""}']"
a white crow,unusual,emergent,"['{""property_type"": ""emergent""}']"
water down a drain,transient,emergent,"['{""property_type"": ""emergent""}']"
a schoolboy about to be whipped,vulnerable,emergent,"['{""property_type"": ""emergent""}']"
the sky between stars,dark,emergent,"['{""property_type"": ""emergent""}']"
the love of money,greedy,emergent,"['{""property_type"": ""emergent""}']"
a weekold newspaper,uninspire,emergent,"['{""property_type"": ""emergent""}']"
the age of cavalry,remote,emergent,"['{""property_type"": ""others""}']"
a elephant as a sailor,unsuitable,emergent,"['{""property_type"": ""emergent""}']"
a boardinghouse steak,tough,emergent,"['{""property_type"": ""emergent""}']"
a rocking chair,soothe,emergent,"['{""property_type"": ""emergent""}']"
a handicapped spot,designate,emergent,"['{""property_type"": ""emergent""}']"
the gif guy,creative,emergent,"['{""property_type"": ""others""}']"
an otter in oil,helpless,emergent,"['{""property_type"": ""emergent""}']"
moonlight unto sunlight,inferior,emergent,"['{""property_type"": ""emergent""}']"
a couple dollars,affordable,emergent,"['{""property_type"": ""emergent""}']"
the creatures of the wasteland,monstrous,emergent,"['{""property_type"": ""emergent""}']"
dark humour,subversive,emergent,"['{""property_type"": ""emergent""}']"
a snake in the grass,deceitful,emergent,"['{""property_type"": ""emergent""}']"
ice in the tropics,uncommon,emergent,"['{""property_type"": ""emergent""}']"
waves in a storm,unstoppable,emergent,"['{""property_type"": ""emergent""}']"
the faith of the simple,genuine,emergent,"['{""property_type"": ""emergent""}']"
an arrow growing up,upright,emergent,"['{""property_type"": ""emergent""}']"
a wet hotdog,unappetizing,emergent,"['{""property_type"": ""emergent""}']"
electrons in orbitals,pair,emergent,"['{""property_type"": ""emergent""}']"
an engine out of repair,non,emergent,"['{""property_type"": ""canceled""}']"
a jack out of a box,surprising,emergent,"['{""property_type"": ""emergent""}']"
a kid in headlights,startle,emergent,"['{""property_type"": ""emergent""}']"
a snake in a tube,constrain,emergent,"['{""property_type"": ""canceled""}']"
a man down rapids,precarious,emergent,"['{""property_type"": ""emergent""}']"
a pig on a flagpole,incongruous,emergent,"['{""property_type"": ""emergent""}']"
a collector's item,valuable,emergent,"['{""property_type"": ""emergent""}']"
a spring out of the soybeans,sudden,emergent,"['{""property_type"": ""emergent""}']"
a play upon words,clever,emergent,"['{""property_type"": ""emergent""}']"
a limp lily,lifeless,emergent,"['{""property_type"": ""emergent""}']"
the cry of a cat,high,emergent,"['{""property_type"": ""component""}']"
a walking stick,stabilize,emergent,"['{""property_type"": ""emergent""}']"
eyesockets without eyes,empty,emergent,"['{""property_type"": ""emergent""}']"
two horny teenagers,liplocked,emergent,"['{""property_type"": ""emergent""}']"
a villager under ice,in need of rescue,emergent,"['{""property_type"": ""emergent""}']"
a phone without a screen,useless,emergent,"['{""property_type"": ""emergent""}']"
a stone saint,immovable,emergent,"['{""property_type"": ""component""}']"
the tiny birds,skittish,emergent,"['{""property_type"": ""emergent""}']"
a wet poodle,unattractive,emergent,"['{""property_type"": ""emergent""}']"
an effect without a cause,non,emergent,"['{""property_type"": ""emergent""}']"
a man without prejudices,tolerant,emergent,"['{""property_type"": ""emergent""}']"
a cat in a bag,confine,emergent,"['{""property_type"": ""emergent""}']"
a used handkerchief,discard,emergent,"['{""property_type"": ""emergent""}']"
a seed within a fruit,protect,emergent,"['{""property_type"": ""emergent""}']"
a telephone solicitation,scripted,emergent,"['{""property_type"": ""emergent""}']"
a cribhouse whore,unclean,emergent,"['{""property_type"": ""emergent""}']"
an invasion of the moon,fantastical,emergent,"['{""property_type"": ""emergent""}']"
a stick to a rocket,proximity,emergent,"['{""property_type"": ""emergent""}']"
a nut to crack,difficult,emergent,"['{""property_type"": ""emergent""}']"
a talking dog,fantastical,emergent,"['{""property_type"": ""emergent""}']"
school for the retarded,specialize,emergent,"['{""property_type"": ""emergent""}']"
a lady of the court,noble,emergent,"['{""property_type"": ""emergent""}']"
half the egg roll,portioned,emergent,"['{""property_type"": ""emergent""}']"
a dozen beers,excessive,emergent,"['{""property_type"": ""emergent""}']"
fridge fruit,lackluster,emergent,"['{""property_type"": ""emergent""}']"
a fly trap,very,canceled,"['{""property_type"": ""others""}']"
an effect without a cause,cause,canceled,"['{""property_type"": ""canceled""}']"
a mosquito in ember,disease vector,canceled,"['{""property_type"": ""canceled""}']"
the hearts of men,curious,canceled,"['{""property_type"": ""emergent""}']"
voices of a stream,real,canceled,"['{""property_type"": ""emergent""}']"
water on mars,blemish,canceled,"['{""property_type"": ""others""}']"
hungry snakes,emptiness,canceled,"['{""property_type"": ""emergent""}']"
wine and dice,six,canceled,"['{""property_type"": ""others""}']"
a skein of smoke,yarn,canceled,"['{""property_type"": ""canceled""}']"
the two ends of the earth,real,canceled,"['{""property_type"": ""canceled""}']"
the land of the dead,productive,canceled,"['{""property_type"": ""canceled""}']"
the elephant in the room,enclose,canceled,"['{""property_type"": ""others""}']"
the washing on the line,Bubbles,canceled,"['{""property_type"": ""others""}']"
the silk merchant's,shiny,canceled,"['{""property_type"": ""component""}']"
faith without love,important,canceled,"['{""property_type"": ""canceled""}']"
any woman of the street,pave,canceled,"['{""property_type"": ""others""}']"
breaking tradition,endure,canceled,"['{""property_type"": ""canceled""}']"
a thousand dollars for one outfit,Federal Reserve,canceled,"['{""property_type"": ""others""}']"
bacon and vodka,clear,canceled,"['{""property_type"": ""canceled""}']"
burnt insulation,moisture barrier,canceled,"['{""property_type"": ""canceled""}']"
a lower case,structure,canceled,"['{""property_type"": ""emergent""}']"
a tired joke,funny,canceled,"['{""property_type"": ""canceled""}']"
wax work,stressful,canceled,"['{""property_type"": ""others""}']"
a sleeping mask,inactive,canceled,"['{""property_type"": ""emergent""}']"
the surface of the sun,solid,canceled,"['{""property_type"": ""canceled""}']"
a bird on a bough,strong,canceled,"['{""property_type"": ""canceled""}']"
the report of a pistol,structure,canceled,"['{""property_type"": ""others""}']"
a tree coming down,rooted,canceled,"['{""property_type"": ""component""}']"
a female housekeeper,fertile,canceled,"['{""property_type"": ""others""}']"
the laying of a net,still,canceled,"['{""property_type"": ""emergent""}']"
the feet of the fly,wing,canceled,"['{""property_type"": ""others""}']"
a church mouse,ergonomic,canceled,"['{""property_type"": ""others""}']"
any law in physics,regulatory,canceled,"['{""property_type"": ""emergent""}']"
a stuffed owl,nocturnal,canceled,"['{""property_type"": ""component""}']"
an unstrung drum,musical,canceled,"['{""property_type"": ""canceled""}']"
not having class,collectively,canceled,"['{""property_type"": ""emergent""}']"
the falling night,bright,canceled,"['{""property_type"": ""canceled""}']"
the moonlight at noon,bright,canceled,"['{""property_type"": ""canceled""}']"
a dying fish,beautiful,canceled,"['{""property_type"": ""component""}']"
a poke in the eye,peripheral,canceled,"['{""property_type"": ""canceled""}']"
sticks and stones,flexible,canceled,"['{""property_type"": ""canceled""}']"
a diver with the bends,deep,canceled,"['{""property_type"": ""others""}']"
"the hair on a goat,",agile,canceled,"['{""property_type"": ""others""}']"
a maple seed,wooden,canceled,"['{""property_type"": ""component""}']"
a chariot on the freeway,fast,canceled,"['{""property_type"": ""canceled""}']"
a lady in waiting,time,canceled,"['{""property_type"": ""others""}']"
blind patriotism,civic responsibility,canceled,"['{""property_type"": ""canceled""}']"
ones parents,unitary,canceled,"['{""property_type"": ""canceled""}']"
a fire cracker,simple,canceled,"['{""property_type"": ""component""}']"
a spent runner,strong,canceled,"['{""property_type"": ""canceled""}']"
non expendables,disposable,canceled,"['{""property_type"": ""canceled""}']"
a spent runner,fast,canceled,"['{""property_type"": ""canceled""}']"
a fray in a feast,abundant,canceled,"['{""property_type"": ""canceled""}']"
a coursing river,progressive,canceled,"['{""property_type"": ""emergent""}']"
a house falling in,shelter,canceled,"['{""property_type"": ""canceled""}']"
a thought in time,progressive,canceled,"['{""property_type"": ""emergent""}']"
a wounded eagle,fly,canceled,"['{""property_type"": ""canceled""}']"
water under the bridge,structural,canceled,"['{""property_type"": ""component""}']"
a bat out of a sunrise,echolocation,canceled,"['{""property_type"": ""component""}']"
an elevator in an outhouse,Efficient,canceled,"['{""property_type"": ""others""}']"
five dollars a week,time,canceled,"['{""property_type"": ""others""}']"
a wall of text,supportive,canceled,"['{""property_type"": ""canceled""}']"
the awful possibility,endless,canceled,"['{""property_type"": ""others""}']"
the rain in the air,invisible,canceled,"['{""property_type"": ""emergent""}']"
the velocity of sound,subjective,canceled,"['{""property_type"": ""others""}']"
a voice from the grave,real,canceled,"['{""property_type"": ""canceled""}']"
hair down a drain,hollow,canceled,"['{""property_type"": ""canceled""}']"
a cat in a gutter,drain,canceled,"['{""property_type"": ""others""}']"
the career of a comet,fulfil,canceled,"['{""property_type"": ""others""}']"
light to darkness,bright,canceled,"['{""property_type"": ""canceled""}']"
the old days,bright,canceled,"['{""property_type"": ""others""}']"
"a fish out of water,",alive,canceled,"['{""property_type"": ""canceled""}']"
a shadow without light,transmissive,canceled,"['{""property_type"": ""canceled""}']"
a face without a nose,symmetrical,canceled,"['{""property_type"": ""canceled""}']"
a hair shirt,cotton,canceled,"['{""property_type"": ""component""}']"
a whipped dog,sting,canceled,"['{""property_type"": ""canceled""}']"
ill preparation,planning,canceled,"['{""property_type"": ""canceled""}']"
boiled hay,fluffy,canceled,"['{""property_type"": ""canceled""}']"
not swallowing poison,harmful,canceled,"['{""property_type"": ""canceled""}']"
statue of limitations,durable,canceled,"['{""property_type"": ""others""}']"
a wooden woman,multifacete,canceled,"['{""property_type"": ""emergent""}']"
a bird on the bough,strong,canceled,"['{""property_type"": ""others""}']"
a skein of smoke,yarn,canceled,"['{""property_type"": ""canceled""}']"
the mountains of the moon,orbital,canceled,"['{""property_type"": ""others""}']"
lions in a pride,feel,canceled,"['{""property_type"": ""emergent""}']"
a villager under ice,community-oriented,canceled,"['{""property_type"": ""canceled""}']"
two or three times per year,progressive,canceled,"['{""property_type"": ""others""}']"
a rope out of the coil,curl,canceled,"['{""property_type"": ""canceled""}']"
the population of the hamlet,numerous,canceled,"['{""property_type"": ""emergent""}']"
the washed out road,vehicle accessible,canceled,"['{""property_type"": ""canceled""}']"
a jackass with no training,informative,canceled,"['{""property_type"": ""canceled""}']"
a jackass with no training,improve,canceled,"['{""property_type"": ""canceled""}']"
faith without love,universal,canceled,"['{""property_type"": ""canceled""}']"
"an army without a commander, or",disciplined,canceled,"['{""property_type"": ""canceled""}']"
the career of a comet,important,canceled,"['{""property_type"": ""others""}']"
disjointed thoughts,non,canceled,"['{""property_type"": ""canceled""}']"
a voice from the grave,clear,canceled,"['{""property_type"": ""others""}']"
a stone's throw,solid,canceled,"['{""property_type"": ""component""}']"
a gun with zero bullets,projectile weapon,canceled,"['{""property_type"": ""canceled""}']"
the title of the movie,cinematic,canceled,"['{""property_type"": ""others""}']"
hands in the air,manipulative,canceled,"['{""property_type"": ""canceled""}']"
last weekend,final,canceled,"['{""property_type"": ""emergent""}']"
baked clay,soft,canceled,"['{""property_type"": ""canceled""}']"
the machines in the sky,cloudy,canceled,"['{""property_type"": ""others""}']"
a fly in a jar,hollow,canceled,"['{""property_type"": ""emergent""}']"
a dying sun,life-giving,canceled,"['{""property_type"": ""canceled""}']"
eyesockets without eyes,reflective,canceled,"['{""property_type"": ""canceled""}']"
a burnt out lightbulb,bright,canceled,"['{""property_type"": ""canceled""}']"
home prices,comfortable,canceled,"['{""property_type"": ""others""}']"
thirteen years of age,divisible,canceled,"['{""property_type"": ""component""}']"
a broken foot,supportive,canceled,"['{""property_type"": ""canceled""}']"
the pedi cabs,yellow,canceled,"['{""property_type"": ""others""}']"
a hog on ice,heavy,canceled,"['{""property_type"": ""component""}']"
a trout in a saucer,stream-dwelling,canceled,"['{""property_type"": ""component""}']"
a trapped bird,fly,canceled,"['{""property_type"": ""canceled""}']"
consumption of the lungs,necessary,canceled,"['{""property_type"": ""canceled""}']"
a boiled egg,bubble,canceled,"['{""property_type"": ""emergent""}']"
white ravens,black,canceled,"['{""property_type"": ""canceled""}']"
a china cup,large,canceled,"['{""property_type"": ""others""}']"
a rat in a box,quick,canceled,"['{""property_type"": ""component""}']"
a pole without any support,stable,canceled,"['{""property_type"": ""canceled""}']"
a boiled dog,loyal,canceled,"['{""property_type"": ""component""}']"
a tempest in a teapot,ceramic,canceled,"['{""property_type"": ""component""}']"
the fuller's earth,round,canceled,"['{""property_type"": ""others""}']"
a fixed star,restorative,canceled,"['{""property_type"": ""others""}']"
the 'tree of life,temporary,canceled,"['{""property_type"": ""others""}']"
a lettuce without water,leafy,canceled,"['{""property_type"": ""component""}']"
the remaining sun,steady,canceled,"['{""property_type"": ""others""}']"
a house falling in,living space,canceled,"['{""property_type"": ""canceled""}']"
the death eaters,omnivorous,canceled,"['{""property_type"": ""others""}']"
a walking doll,steady,canceled,"['{""property_type"": ""emergent""}']"
castles in the air,majestic,canceled,"['{""property_type"": ""others""}']"
blood onto the ground,transports nutrients and oxygen,canceled,"['{""property_type"": ""component""}']"
hog feed,social,canceled,"['{""property_type"": ""others""}']"
not swallowing poison,dangerous,canceled,"['{""property_type"": ""canceled""}']"
Pawn Stars,twinkle,canceled,"['{""property_type"": ""canceled""}']"
an animal snapping,reproduce,canceled,"['{""property_type"": ""component""}']"
a bunch of water,group,canceled,"['{""property_type"": ""emergent""}']"
a winding sheet,breezy,canceled,"['{""property_type"": ""others""}']"
a stab in the dark,forceful,canceled,"['{""property_type"": ""others""}']"
old days,bright,canceled,"['{""property_type"": ""others""}']"
an ague fit,good,canceled,"['{""property_type"": ""others""}']"
fishes in a net,alive,canceled,"['{""property_type"": ""component""}']"
a sable cloud,white,canceled,"['{""property_type"": ""canceled""}']"
the pot of gold,cook,canceled,"['{""property_type"": ""others""}']"
the old days,bright,canceled,"['{""property_type"": ""others""}']"
a moonbeam from lightning,instantaneous,canceled,"['{""property_type"": ""emergent""}']"
stuffed fox 's,nocturnal,canceled,"['{""property_type"": ""canceled""}']"
a bear with honey,fierce,canceled,"['{""property_type"": ""component""}']"
a call to arms,muscular,canceled,"['{""property_type"": ""others""}']"
a country lane,sovereign,canceled,"['{""property_type"": ""others""}']"
a chicken with no head,cerebral,canceled,"['{""property_type"": ""canceled""}']"
a girl in a bathingsuit,stretchy,canceled,"['{""property_type"": ""component""}']"
non theists,belief in god,canceled,"['{""property_type"": ""canceled""}']"
the watered lemonade,colorless,canceled,"['{""property_type"": ""canceled""}']"
a bullock under an axe,strong,canceled,"['{""property_type"": ""component""}']"
stained glass,blemish,canceled,"['{""property_type"": ""emergent""}']"
a wounded eagle,powerful,canceled,"['{""property_type"": ""component""}']"
