sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_property,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_root_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_emergence,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_property,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_root_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_emergence,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_property,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_root_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"['{""property"": ""mired""}']","['{""property"": ""unstable""}']","['{""property"": ""obscured""}']",{'property': 'mired'},mired,1.0,0.2222222222222222,1.0,1.0,0.0,{'property': 'unstable'},unstable,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.0,{'property': 'obscured'},obscured,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"['{""property"": ""fluffy""}']","['{""property"": ""humorous""}']","['{""property"": ""paradoxical""}']",{'property': 'fluffy'},fluffy,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'humorous'},humorous,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.0,{'property': 'paradoxical'},paradoxical,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.22222222222222227
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"['{""property"": ""decorative""}']","['{""property"": ""ornamental""}']","['{""property"": ""decorative""}']",{'property': 'decorative'},decorative,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'ornamental'},ornamental,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'decorative'},decorative,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""rare""}']","['{""property"": ""rare""}']","['{""property"": ""rare""}']",{'property': 'rare'},rare,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,{'property': 'rare'},rare,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""resourceful""}']","['{""property"": ""differently-abled""}']","['{""property"": ""uni-manual dexterity""}']",{'property': 'resourceful'},resourceful,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.0,{'property': 'differently-abled'},differently-abled,0.8888888888888888,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'uni-manual dexterity'},uni-manual dexterity,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.8888888888888888,0.0
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""lethargic""}']","['{""property"": ""unsettling""}']","['{""property"": ""lethargic""}']",{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'unsettling'},unsettling,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,{'property': 'lethargic'},lethargic,0.8888888888888888,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.33333333333333326
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""novel""}']","['```json\n{""property"": ""unusual flavor""}\n```']","['{""property"": ""unusual flavor""}']",{'property': 'novel'},novel,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778,{'property': 'unusual flavor'},unusual flavor,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'unusual flavor'},unusual flavor,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""in distress""}']","['{""property"": ""doomed""}']","['{""property"": ""waterlogged""}']",{'property': 'in distress'},in distress,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'doomed'},doomed,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'waterlogged'},waterlogged,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""incompatible""}']","['{""property"": ""contradictory""}']","['{""property"": ""contradictory""}']",{'property': 'incompatible'},incompatible,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,{'property': 'contradictory'},contradictory,1.0,0.0,0.0,0.0,1.0,{'property': 'contradictory'},contradictory,1.0,0.0,0.0,0.0,1.0
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""fatal attraction""}']","['{""property"": ""fatal attraction""}']","['{""property"": ""compelled by light""}']",{'property': 'fatal attraction'},fatal attraction,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'fatal attraction'},fatal attraction,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.0,{'property': 'compelled by light'},compelled by light,1.0,0.8888888888888888,0.0,0.8888888888888888,0.11111111111111116
She somehow lifted upwards like a witch on a broom somewhere around the column,a witch on a broom,witch,broom,flying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 4, 2)",0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,False,0.6666666666666666,"['{""property"": ""flying""}']","['{""property"": ""aerial sorcery""}']","['{""property"": ""flying""}']",{'property': 'flying'},flying,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'aerial sorcery'},aerial sorcery,1.0,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.33333333333333337,{'property': 'flying'},flying,0.8888888888888888,0.5555555555555556,0.0,0.5555555555555556,0.33333333333333326
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""property"": ""satiated""}']","['{""property"": ""balanced""}']","['{""property"": ""healthy""}']",{'property': 'satiated'},satiated,0.8888888888888888,0.0,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'balanced'},balanced,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,{'property': 'healthy'},healthy,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778
It is as likely as snow in hell.,snow in hell,snow,hell,unlikely,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""paradoxical""}']","['```json\n{""property"": ""paradoxical""}\n```']","['{""property"": ""paradoxical""}']",{'property': 'paradoxical'},paradoxical,1.0,0.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,{'property': 'paradoxical'},paradoxical,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'paradoxical'},paradoxical,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
"But then you are to go around like a wet cat, and mope, and hang on worse then ever.",a wet cat,cat,wet,miserable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 4)",0.4444444444444445,0.7777777777777778,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""irritable""}']","['{""property"": ""uncomfortable""}']","['{""property"": ""unattractive""}']",{'property': 'irritable'},irritable,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2222222222222222,{'property': 'uncomfortable'},uncomfortable,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'unattractive'},unattractive,0.7777777777777778,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4444444444444445
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""nested""}']","['{""property"": ""nested""}']","['```json\n{""property"": ""nested""}\n```']",{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0,{'property': 'nested'},nested,1.0,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0
"We do so like the smell of sheep, they said to which the old man replied, Yis, mum, an seea deea Ah bud Ah leykes t teeast on em betther!",the smell of sheep,smell,sheep,earthy,emergent,"(component, emergent, emergent)","(5, 4, 5)","(3, 3, 3)","(4, 3, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""musky""}']","['{""property"": ""earthy""}']","['{""property"": ""unpleasant""}']",{'property': 'musky'},musky,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.11111111111111105,{'property': 'earthy'},earthy,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'unpleasant'},unpleasant,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['```json\n{""property"": ""unconventional""}\n```']","['```json\n{""property"": ""rare""}\n```']","['{""property"": ""rare""}']",{'property': 'unconventional'},unconventional,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556
"The old man didn't go after him, and fight for four years, at a cost uv half his substance, to subdue him and bring him back, but when he hed run through his pile, and squandered his share uv the estate, and got hungry, he came back like a whipped dog.",a whipped dog,dog,whip,helpless,emergent,"(emergent, emergent, component)","(4, 5, 3)","(1, 4, 4)","(1, 3, 2)",0.6666666666666667,0.7777777777777778,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""unfriendly""}']","['{""property"": ""traumatized""}']","['{""property"": ""mistreated""}']",{'property': 'unfriendly'},unfriendly,0.4444444444444444,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,{'property': 'traumatized'},traumatized,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'mistreated'},mistreated,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""property"": ""accessible""}']","['{""property"": ""priority-access""}']","['{""property"": ""accessible""}']",{'property': 'accessible'},accessible,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'priority-access'},priority-access,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,{'property': 'accessible'},accessible,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0
"He was husky, but also fat like a watermelon with paws. ",a watermelon with paws,watermelon,paw,strange,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 2)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""anthropomorphic""}']","['{""property"": ""unnatural""}']","['{""property"": ""whimsical""}']",{'property': 'anthropomorphic'},anthropomorphic,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,{'property': 'unnatural'},unnatural,1.0,0.0,0.0,0.0,1.0,{'property': 'whimsical'},whimsical,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666667
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""contrasting""}']","['{""property"": ""conflict""}']","['{""property"": ""tension""}']",{'property': 'contrasting'},contrasting,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,{'property': 'conflict'},conflict,0.7777777777777778,0.3333333333333333,0.0,0.3333333333333333,0.4444444444444445,{'property': 'tension'},tension,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""consumed""}']","['{""property"": ""unrecoverable""}']","['{""property"": ""irrecoverable""}']",{'property': 'consumed'},consumed,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'unrecoverable'},unrecoverable,0.8888888888888888,0.0,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'irrecoverable'},irrecoverable,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777
"The bars played freely like keys on a ring, and splayed out in their flight, and did the most dreadful execution.",keys on a ring,key,ring,jingly,emergent,"(emergent, emergent, component)","(5, 5, 4)","(2, 2, 3)","(1, 3, 2)",0.0,0.7777777777777778,0.7777777777777778,0.3333333333333333,False,0.7777777777777778,"['{""property"": ""organized""}']","['{""property"": ""organized""}']","['{""property"": ""organized""}']",{'property': 'organized'},organized,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'organized'},organized,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'organized'},organized,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""improbable coexistence""}']","['{""property"": ""unbearable""}']","['{""property"": ""contradictory""}']",{'property': 'improbable coexistence'},improbable coexistence,0.8888888888888888,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6666666666666666,{'property': 'unbearable'},unbearable,1.0,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.2222222222222222,{'property': 'contradictory'},contradictory,1.0,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""striking""}']","['{""property"": ""rare""}']","['{""property"": ""rare""}']",{'property': 'striking'},striking,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,{'property': 'rare'},rare,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666667
