sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,C,C_T,gpt-4o_sa-conceptnet_0_generated_,gpt-4o_sa-conceptnet_1_generated_,gpt-4o_sa-conceptnet_2_generated_,gpt-4o_sa-conceptnet_0_generated,gpt-4o_sa-conceptnet_0_property,gpt-4o_sa-conceptnet_0_combination_relevance,gpt-4o_sa-conceptnet_0_root_relevance,gpt-4o_sa-conceptnet_0_modifier_relevance,gpt-4o_sa-conceptnet_0_indiv_max,gpt-4o_sa-conceptnet_0_emergence,gpt-4o_sa-conceptnet_1_generated,gpt-4o_sa-conceptnet_1_property,gpt-4o_sa-conceptnet_1_combination_relevance,gpt-4o_sa-conceptnet_1_root_relevance,gpt-4o_sa-conceptnet_1_modifier_relevance,gpt-4o_sa-conceptnet_1_indiv_max,gpt-4o_sa-conceptnet_1_emergence,gpt-4o_sa-conceptnet_2_generated,gpt-4o_sa-conceptnet_2_property,gpt-4o_sa-conceptnet_2_combination_relevance,gpt-4o_sa-conceptnet_2_root_relevance,gpt-4o_sa-conceptnet_2_modifier_relevance,gpt-4o_sa-conceptnet_2_indiv_max,gpt-4o_sa-conceptnet_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"{0: ['post', 'mud'], 1: ['mud', 'post'], 2: ['mud', 'post'], 3: ['mud', 'post'], 4: ['mud', 'post'], 5: ['mud', 'post']}",[],"['{""property"": ""disregarded""}']","['{""property"": ""forgotten""}']","['{""property"": ""stuck""}']",{'property': 'disregarded'},disregarded,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'forgotten'},forgotten,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227,{'property': 'stuck'},stuck,1.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.2222222222222222
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"{0: ['turd', 'airy'], 1: ['airy', 'turd'], 2: ['airy', 'turd'], 3: ['airy', 'turd'], 4: ['airy', 'turd'], 5: ['airy', 'turd']}",[],"['{""property"": ""humorous""}']","['{""property"": ""absurdity""}']","['{""property"": ""absurd""}']",{'property': 'humorous'},humorous,0.5555555555555556,0.5555555555555556,0.0,0.5555555555555556,0.0,{'property': 'absurdity'},absurdity,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'absurd'},absurd,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"{0: ['starfish', 'dry'], 1: ['dry', 'starfish'], 2: ['dry', 'starfish'], 3: ['dry', 'starfish'], 4: ['dry', 'starfish'], 5: ['dry', 'starfish']}",[],"['{""property"": ""fragile""}']","['{""property"": ""brittle""}']","['{""property"": ""brittle""}']",{'property': 'fragile'},fragile,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"{0: ['raven', 'white'], 1: ['raven', 'white'], 2: ['raven', 'white'], 3: ['raven', 'white'], 4: ['raven', 'white'], 5: ['raven', 'white']}",[],"['{""property"": ""mythical""}']","['{""property"": ""mystical""}']","['{""property"": ""mysterious""}']",{'property': 'mythical'},mythical,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,{'property': 'mystical'},mystical,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'mysterious'},mysterious,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.0
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"{0: ['fellow', 'arm'], 1: ['arm', 'fellow'], 2: ['arm', 'fellow'], 3: ['arm', 'fellow'], 4: ['arm', 'fellow'], 5: ['arm', 'fellow']}",[],"['{""property"": ""resilient""}']","['{""property"": ""incomplete""}']","['{""property"": ""perseverance""}']",{'property': 'resilient'},resilient,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,{'property': 'incomplete'},incomplete,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444445,{'property': 'perseverance'},perseverance,0.5555555555555556,0.3333333333333333,0.0,0.3333333333333333,0.22222222222222227
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['lizard', 'cold'], 1: ['lizard', 'cold', 'sun itself on rock'], 2: ['lizard', 'cold', 'sun itself on rock'], 3: ['lizard', 'cold', 'sun itself on rock'], 4: ['lizard', 'cold', 'sun itself on rock'], 5: ['lizard', 'cold', 'sun itself on rock']}",['sun itself on rock'],"['{""property"": ""lethargic""}']","['{""property"": ""inactive""}']","['{""property"": ""lethargic""}']",{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['soda', 'bacon'], 1: ['soda', 'drink', 'bacon'], 2: ['soda', 'drink', 'bacon'], 3: ['soda', 'drink', 'bacon'], 4: ['soda', 'drink', 'bacon'], 5: ['soda', 'drink', 'bacon']}",['drink'],"['{""property"": ""novelty""}']","['{""property"": ""novelty""}']","['{""property"": ""novelty""}']",{'property': 'novelty'},novelty,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445,{'property': 'novelty'},novelty,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,{'property': 'novelty'},novelty,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['vessel', 'sink'], 1: ['vessel', 'sink'], 2: ['vessel', 'sink'], 3: ['vessel', 'sink'], 4: ['vessel', 'sink'], 5: ['vessel', 'sink']}",[],"['{""property"": ""desperation""}']","['{""property"": ""desperation""}']","['{""property"": ""disaster-prone""}']",{'property': 'desperation'},desperation,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'desperation'},desperation,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'disaster-prone'},disaster-prone,0.8888888888888888,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['fire', 'water'], 1: ['smoke', 'burn things', 'water', 'lighting match', 'fire'], 2: ['water'], 3: ['water'], 4: ['water'], 5: ['water']}",[],"['{""property"": ""balance""}']","['{""property"": ""balance""}']","['{""property"": ""balance""}']",{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['moth', 'light'], 1: ['light', 'moth'], 2: ['light', 'moth'], 3: ['light', 'moth'], 4: ['light', 'moth'], 5: ['light', 'moth']}",[],"['{""property"": ""attraction""}']","['{""property"": ""attraction""}']","['{""property"": ""attraction""}']",{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.2222222222222222,{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.2222222222222222,{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.2222222222222222
She somehow lifted upwards like a witch on a broom somewhere around the column,a witch on a broom,witch,broom,flying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 4, 2)",0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,False,0.6666666666666666,"{0: ['witch', 'broom'], 1: ['broom', 'witch'], 2: ['broom', 'witch'], 3: ['broom', 'witch'], 4: ['broom', 'witch'], 5: ['broom', 'witch']}",[],"['{""property"": ""flying""}']","['{""property"": ""magical""}']","['{""property"": ""mystical""}']",{'property': 'flying'},flying,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,{'property': 'magical'},magical,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,{'property': 'mystical'},mystical,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"{0: ['end', 'overeating'], 1: ['end', 'overeating'], 2: ['end'], 3: ['end'], 4: ['end'], 5: ['end']}",[],"['{""property"": ""relief""}']","['{""property"": ""relief""}']","['{""property"": ""relief""}']",{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222,{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.2222222222222222,{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222
It is as likely as snow in hell.,snow in hell,snow,hell,unlikely,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"{0: ['snow', 'hell'], 1: ['winter', 'white', 'cold'], 2: ['winter', 'white', 'cold'], 3: ['winter', 'white', 'cold'], 4: ['winter', 'white', 'cold'], 5: ['winter', 'white', 'cold']}","['winter', 'white', 'cold']","['{""property"": ""impossible""}']","['{""property"": ""impossible""}']","['{""property"": ""impossible""}']",{'property': 'impossible'},impossible,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,{'property': 'impossible'},impossible,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,{'property': 'impossible'},impossible,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222
"But then you are to go around like a wet cat, and mope, and hang on worse then ever.",a wet cat,cat,wet,miserable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 4)",0.4444444444444445,0.7777777777777778,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"{0: ['cat', 'wet'], 1: ['cat', 'wet'], 2: ['cat', 'wet'], 3: ['cat', 'wet'], 4: ['cat', 'wet'], 5: ['cat', 'wet']}",[],"['{""property"": ""displeased""}']","['{""property"": ""displeased""}']","['{""property"": ""miserable""}']",{'property': 'displeased'},displeased,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'displeased'},displeased,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'miserable'},miserable,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['doll', 'russian'], 1: ['doll', 'russian'], 2: ['doll', 'russian'], 3: ['doll', 'russian'], 4: ['doll', 'russian'], 5: ['doll', 'russian']}",[],"['{""property"": ""nested""}']","['{""property"": ""nested""}']","['{""property"": ""nested""}']",{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0,{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0,{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0
"We do so like the smell of sheep, they said to which the old man replied, Yis, mum, an seea deea Ah bud Ah leykes t teeast on em betther!",the smell of sheep,smell,sheep,earthy,emergent,"(component, emergent, emergent)","(5, 4, 5)","(3, 3, 3)","(4, 3, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['smell', 'sheep'], 1: ['smell', 'sheep'], 2: ['smell', 'sheep'], 3: ['smell', 'sheep'], 4: ['smell', 'sheep'], 5: ['smell', 'sheep']}",[],"['{""property"": ""pastoral""}']","['{""property"": ""pastoral""}']","['{""property"": ""pastoral""}']",{'property': 'pastoral'},pastoral,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'pastoral'},pastoral,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'pastoral'},pastoral,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['crow', 'white'], 1: ['crow', 'white'], 2: ['crow', 'white'], 3: ['crow', 'white'], 4: ['crow', 'white'], 5: ['crow', 'white']}",[],"['{""property"": ""rarity""}']","['{""property"": ""rarity""}']","['{""property"": ""anomaly""}']",{'property': 'rarity'},rarity,1.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'rarity'},rarity,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'anomaly'},anomaly,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
