sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,C,C_T,qwen2.5:72b_sa-llm_0_generated_,qwen2.5:72b_sa-llm_1_generated_,qwen2.5:72b_sa-llm_2_generated_,qwen2.5:72b_sa-llm_0_generated,qwen2.5:72b_sa-llm_0_property,qwen2.5:72b_sa-llm_0_combination_relevance,qwen2.5:72b_sa-llm_0_root_relevance,qwen2.5:72b_sa-llm_0_modifier_relevance,qwen2.5:72b_sa-llm_0_indiv_max,qwen2.5:72b_sa-llm_0_emergence,qwen2.5:72b_sa-llm_1_generated,qwen2.5:72b_sa-llm_1_property,qwen2.5:72b_sa-llm_1_combination_relevance,qwen2.5:72b_sa-llm_1_root_relevance,qwen2.5:72b_sa-llm_1_modifier_relevance,qwen2.5:72b_sa-llm_1_indiv_max,qwen2.5:72b_sa-llm_1_emergence,qwen2.5:72b_sa-llm_2_generated,qwen2.5:72b_sa-llm_2_property,qwen2.5:72b_sa-llm_2_combination_relevance,qwen2.5:72b_sa-llm_2_root_relevance,qwen2.5:72b_sa-llm_2_modifier_relevance,qwen2.5:72b_sa-llm_2_indiv_max,qwen2.5:72b_sa-llm_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"{0: ['post', 'mud'], 1: ['post', 'mud'], 2: ['post', 'mud'], 3: ['post', 'mud'], 4: ['post', 'mud'], 5: ['post', 'mud']}","['post', 'mud']","['{""property"": ""embedded""}']","['{""property"": ""unsteady""}']","['{""property"": ""stuck""}']",{'property': 'embedded'},embedded,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3333333333333332,{'property': 'unsteady'},unsteady,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.0,{'property': 'stuck'},stuck,1.0,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.2222222222222222
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"{0: ['turd', 'airy'], 1: ['airy'], 2: ['airy'], 3: ['airy'], 4: ['airy'], 5: ['airy']}",['airy'],"['{""property"": ""lightweight""}']","['{""property"": ""lightweight""}']","['{""property"": ""insubstantial""}']",{'property': 'lightweight'},lightweight,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.1111111111111111,{'property': 'lightweight'},lightweight,1.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.1111111111111111,{'property': 'insubstantial'},insubstantial,1.0,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.2222222222222222
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"{0: ['starfish', 'dry'], 1: ['dry', 'starfish'], 2: ['dry', 'starfish'], 3: ['dry', 'starfish'], 4: ['dry', 'starfish'], 5: ['dry', 'starfish']}","['dry', 'starfish']","['{""property"": ""brittle""}']","['{""property"": ""brittle""}']","['{""property"": ""brittle""}']",{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'brittle'},brittle,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.111111111111111
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"{0: ['raven', 'white'], 1: ['black'], 2: ['black'], 3: ['black'], 4: ['black'], 5: ['black']}",['black'],"['{""property"": ""uncommon""} \n\nReasoning:\nThe combination ""a white raven"" involves two components: ""white"" and ""raven."" Typically, ravens are black, so a white raven is not a common occurrence in nature. The property ""uncommon"" emerges from the combination because while ""white"" can describe many things and ""raven"" typically refers to a black bird, the specific combination of a white raven is rare and unusual. Neither ""white"" nor ""raven"" individually conveys this sense of rarity; it is only when combined that the property ""uncommon"" becomes apparent.']","['{""property"": ""uncommon""}']","['{""property"": ""albino""}']",{'property': 'uncommon'},uncommon,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'uncommon'},uncommon,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'albino'},albino,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"{0: ['fellow', 'arm'], 1: ['arm', 'fellow'], 2: ['arm', 'fellow'], 3: ['arm', 'fellow'], 4: ['arm', 'fellow'], 5: ['arm', 'fellow']}","['arm', 'fellow']","['{""property"": ""lopsided""}']","['{""property"": ""unilateral""}']","['{""property"": ""unbalanced""}']",{'property': 'lopsided'},lopsided,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'unilateral'},unilateral,1.0,0.0,0.0,0.0,1.0,{'property': 'unbalanced'},unbalanced,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444445
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['lizard', 'cold'], 1: ['lizard', 'cold', 'sun itself on rock'], 2: ['lizard', 'cold', 'sun itself on rock'], 3: ['lizard', 'cold', 'sun itself on rock'], 4: ['lizard', 'cold', 'sun itself on rock'], 5: ['lizard', 'cold', 'sun itself on rock']}","['lizard', 'cold', 'sun itself on rock']","['{""property"": ""inactive""} \n\nReasoning:\n- The combination is ""a cold lizard.""\n- Relevant concepts are [\'lizard\', \'cold\', \'sun itself on rock\'].\n- A lizard, being a reptile, is ectothermic (cold-blooded), meaning its body temperature is regulated by external sources like the sun. When a lizard is cold, it becomes less active and may seek warmth to raise its body temperature.\n- ""Lizard"" alone does not imply inactivity; lizards can be active at various temperatures.\n- ""Cold"" alone does not imply inactivity either; objects or environments can be cold without being inactive.\n- The concept ""sun itself on rock"" suggests that lizards typically bask in the sun to warm up, but this is not directly relevant to the emergent property of a cold lizard.\n- When combined, a ""cold lizard"" becomes less active because it needs warmth to function properly. This inactivity is an emergent property that arises from the combination of ""cold"" and ""lizard,"" as neither term alone implies this state.']","['{""property"": ""inactive""} \n\n### Reasoning:\nThe combination ""a cold lizard"" involves the properties of being ""cold"" and being a ""lizard."" Individually, ""cold"" is just a temperature state, and ""lizard"" is a type of reptile. However, when combined, the property that emerges is ""inactive,"" which describes the behavior or state of the lizard due to its cold body temperature. Lizards are ectothermic (cold-blooded), meaning their body temperature depends on external sources like the sun. When they are cold, they become less active and may seek warmth to increase their metabolism. This inactivity is a property that emerges from the combination of ""cold"" and ""lizard,"" but it does not directly apply to either ""cold"" or ""lizard"" alone.']","['{""property"": ""inactive""} \n\nReasoning: A ""cold lizard"" combines the properties of being a lizard and being cold. Individually, ""lizard"" can be active or inactive depending on its environment, while ""cold"" describes temperature. However, when combined, a ""cold lizard"" often becomes less active because lizards are ectothermic (cold-blooded) and rely on external heat sources to maintain their body temperature. The property ""inactive"" emerges from the combination of being cold and being a lizard, as it does not inherently belong to either term alone but is a result of their interaction.']",{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3333333333333332,{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.3333333333333332
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['soda', 'bacon'], 1: ['bacon', 'soda'], 2: ['bacon', 'soda'], 3: ['bacon', 'soda'], 4: ['bacon', 'soda'], 5: ['bacon', 'soda']}","['bacon', 'soda']","['{""property"": ""savory_fizz""}']","['{""property"": ""savory_bubbly""}']","['{""property"": ""unconventional""}']",{'property': 'savory_fizz'},savory_fizz,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,{'property': 'savory_bubbly'},savory_bubbly,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,{'property': 'unconventional'},unconventional,0.8888888888888888,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.6666666666666666
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['vessel', 'sink'], 1: ['vessel', 'sink'], 2: ['vessel', 'sink'], 3: ['vessel', 'sink'], 4: ['vessel', 'sink'], 5: ['vessel', 'sink']}","['vessel', 'sink']","['{""property"": ""doomed""}']","['{""property"": ""endangered""}']","['{""property"": ""endangered""}']",{'property': 'doomed'},doomed,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'endangered'},endangered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'endangered'},endangered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['fire', 'water'], 1: ['fire', 'water'], 2: ['fire', 'water'], 3: ['fire', 'water'], 4: ['fire', 'water'], 5: ['fire', 'water']}","['fire', 'water']","['{""property"": ""vapor""} \n\nReasoning:\nThe emergent property of ""fire and water"" is ""vapor."" Neither ""fire"" nor ""water"" alone possesses the property of being vapor. When fire heats water, it transforms into vapor, which is a new state that emerges from their interaction. This transformation represents an emergent property that does not belong to either component individually but arises when they are combined.']","['{""property"": ""boiling""}']","['{""property"": ""steam""} \n\nReasoning:\nThe combination of ""fire"" and ""water"" results in an emergent property that is not present in either component alone. Fire, by itself, represents heat and combustion, while water, by itself, represents a liquid state often associated with cooling or extinguishing. When fire and water interact, the result is steam, which is a gaseous form of water created when water is heated to its boiling point. Steam does not belong to ""fire"" or ""water"" individually but emerges as a new property from their combination.']",{'property': 'vapor'},vapor,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,{'property': 'boiling'},boiling,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.0,{'property': 'steam'},steam,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['moth', 'light'], 1: ['light', 'moth'], 2: ['light', 'moth'], 3: ['light', 'moth'], 4: ['light', 'moth'], 5: ['light', 'moth']}","['light', 'moth']","['{""property"": ""attracted""}']","['{""property"": ""attracted""}']","['{""property"": ""attracted""}']",{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111,{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.1111111111111111
She somehow lifted upwards like a witch on a broom somewhere around the column,a witch on a broom,witch,broom,flying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 4, 2)",0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,False,0.6666666666666666,"{0: ['witch', 'broom'], 1: ['witch', 'broom'], 2: ['witch', 'broom'], 3: ['witch', 'broom'], 4: ['witch', 'broom'], 5: ['witch', 'broom']}","['witch', 'broom']","['{""property"": ""flying""}']","['{""property"": ""flying""}']","['{""property"": ""flying""}']",{'property': 'flying'},flying,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'flying'},flying,0.8888888888888888,0.6666666666666666,0.0,0.6666666666666666,0.2222222222222222,{'property': 'flying'},flying,0.7777777777777778,0.3333333333333333,0.0,0.3333333333333333,0.4444444444444445
