sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,claude-3-5-sonnet-20241022_naive_0_generated_,claude-3-5-sonnet-20241022_naive_1_generated_,claude-3-5-sonnet-20241022_naive_2_generated_,claude-3-5-sonnet-20241022_naive_0_generated,claude-3-5-sonnet-20241022_naive_0_combination,claude-3-5-sonnet-20241022_naive_0_modifier,claude-3-5-sonnet-20241022_naive_0_combination_relevance,claude-3-5-sonnet-20241022_naive_0_modifier_relevance,claude-3-5-sonnet-20241022_naive_0_indiv_max,claude-3-5-sonnet-20241022_naive_0_emergence,claude-3-5-sonnet-20241022_naive_1_generated,claude-3-5-sonnet-20241022_naive_1_combination,claude-3-5-sonnet-20241022_naive_1_modifier,claude-3-5-sonnet-20241022_naive_1_combination_relevance,claude-3-5-sonnet-20241022_naive_1_modifier_relevance,claude-3-5-sonnet-20241022_naive_1_indiv_max,claude-3-5-sonnet-20241022_naive_1_emergence,claude-3-5-sonnet-20241022_naive_2_generated,claude-3-5-sonnet-20241022_naive_2_combination,claude-3-5-sonnet-20241022_naive_2_modifier,claude-3-5-sonnet-20241022_naive_2_combination_relevance,claude-3-5-sonnet-20241022_naive_2_modifier_relevance,claude-3-5-sonnet-20241022_naive_2_indiv_max,claude-3-5-sonnet-20241022_naive_2_emergence
"Many of these contain great quantities of fish, though, so far as the Great Lakes are concerned, the fish stories of the pioneers read now like idle tales but still the commercial fisheries of the province bring in over 2,333,000 480,000, and give employment to several thousand men.",idle tales,tale,idle,untruthful,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 3, 3)","(4, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""drunk tale"", ""modifier"": ""drunk""}']","['{""combination"": ""fish tale"", ""modifier"": ""fish""}']","['{""combination"": ""fish tale"", ""modifier"": ""fish""}']","{'combination': 'drunk tale', 'modifier': 'drunk'}",drunk tale,drunk,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'fish tale', 'modifier': 'fish'}",fish tale,fish,0.7777777777777778,0.0,0.3333333333333333,0.4444444444444445,"{'combination': 'fish tale', 'modifier': 'fish'}",fish tale,fish,0.7777777777777778,0.0,0.3333333333333333,0.4444444444444445
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""stone lizard"", ""modifier"": ""stone""}']","['{""combination"": ""sleeping lizard"", ""modifier"": ""sleeping""}']","['{""combination"": ""sleeping lizard"", ""modifier"": ""sleeping""}']","{'combination': 'stone lizard', 'modifier': 'stone'}",stone lizard,stone,1.0,1.0,1.0,0.0,"{'combination': 'sleeping lizard', 'modifier': 'sleeping'}",sleeping lizard,sleep,1.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,"{'combination': 'sleeping lizard', 'modifier': 'sleeping'}",sleeping lizard,sleep,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""warm soda"", ""modifier"": ""warm""}']","['{""combination"": ""warm soda"", ""modifier"": ""warm""}']","['{""combination"": ""warm soda"", ""modifier"": ""warm""}']","{'combination': 'warm soda', 'modifier': 'warm'}",warm soda,warm,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'warm soda', 'modifier': 'warm'}",warm soda,warm,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'warm soda', 'modifier': 'warm'}",warm soda,warm,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5555555555555556
"Of course, the count is a serious matter gun for gun is diplomatically as important as an eye for an eye.",an eye for an eye,eye,eye,retributive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(2, 2, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""karma eye"", ""modifier"": ""karma""}']","['{""combination"": ""judging eye"", ""modifier"": ""judging""}']","['{""combination"": ""judging eye"", ""modifier"": ""judging""}']","{'combination': 'karma eye', 'modifier': 'karma'}",karma eye,,0.5555555555555556,0.0,0.0,0.5555555555555556,"{'combination': 'judging eye', 'modifier': 'judging'}",judging eye,judge,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'judging eye', 'modifier': 'judging'}",judging eye,judge,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""digital fire"", ""modifier"": ""digital""}']","['{""combination"": ""blue fire"", ""modifier"": ""blue""}']","['{""combination"": ""green fire"", ""modifier"": ""green""}']","{'combination': 'digital fire', 'modifier': 'digital'}",digital fire,digital,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'blue fire', 'modifier': 'blue'}",blue fire,blue,0.0,0.0,0.0,0.0,"{'combination': 'green fire', 'modifier': 'green'}",green fire,green,0.3333333333333333,0.0,0.0,0.3333333333333333
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""new end"", ""modifier"": ""new""}']","['{""combination"": ""new end"", ""modifier"": ""new""}']","['{""combination"": ""new end"", ""modifier"": ""new""}']","{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'new end', 'modifier': 'new'}",new end,new,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""russian doll"", ""modifier"": ""russian""}']","['{""combination"": ""russian doll"", ""modifier"": ""russian""}']","['{""combination"": ""russian doll"", ""modifier"": ""russian""}']","{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""pink crow"", ""modifier"": ""pink""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}']","{'combination': 'pink crow', 'modifier': 'pink'}",pink crow,pink,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'albino crow', 'modifier': 'albino'}",albino crow,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'albino crow', 'modifier': 'albino'}",albino crow,albino,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""combination"": ""parking spot"", ""modifier"": ""parking""}']","['{""combination"": ""oil spot"", ""modifier"": ""oil""}']","['{""combination"": ""parking spot"", ""modifier"": ""parking""}']","{'combination': 'parking spot', 'modifier': 'parking'}",parking spot,parking,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'oil spot', 'modifier': 'oil'}",oil spot,oil,0.3333333333333333,0.0,0.0,0.3333333333333333,"{'combination': 'parking spot', 'modifier': 'parking'}",parking spot,parking,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
"Lady Romaine waved her scented kerchief, and then routed her scentbottle out of her reticule, and turning sharply upon her daughter, said, Why sit you ever like a stuffed owl, without so much as a word or a smile?",a stuffed owl,owl,stuff,inactive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 1, 3)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""sleepy owl"", ""modifier"": ""sleepy""}']","['{""combination"": ""daytime owl"", ""modifier"": ""daytime""}']","['{""combination"": ""daytime owl"", ""modifier"": ""daytime""}']","{'combination': 'sleepy owl', 'modifier': 'sleepy'}",sleepy owl,sleepy,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'daytime owl', 'modifier': 'daytime'}",daytime owl,daytime,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.5555555555555556,"{'combination': 'daytime owl', 'modifier': 'daytime'}",daytime owl,daytime,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.5555555555555556
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""digital fire"", ""modifier"": ""digital""}']","['{""combination"": ""fake fire"", ""modifier"": ""fake""}']","['{""combination"": ""fake fire"", ""modifier"": ""fake""}']","{'combination': 'digital fire', 'modifier': 'digital'}",digital fire,digital,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'fake fire', 'modifier': 'fake'}",fake fire,fake,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,"{'combination': 'fake fire', 'modifier': 'fake'}",fake fire,fake,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
"Elsie, who adored Clover, considered her as beautiful as girls in books, and was proud to be permitted to hem ruffles for the dress in which she was to burst upon the world.",girls in books,girl,book,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(4, 2, 2)","(4, 2, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""dream girl"", ""modifier"": ""dream""}']","['{""combination"": ""dream girl"", ""modifier"": ""dream""}']","['{""combination"": ""dream girl"", ""modifier"": ""dream""}']","{'combination': 'dream girl', 'modifier': 'dream'}",dream girl,dream,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'dream girl', 'modifier': 'dream'}",dream girl,dream,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'dream girl', 'modifier': 'dream'}",dream girl,dream,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""wet book"", ""modifier"": ""wet""}']","['{""combination"": ""wet book"", ""modifier"": ""wet""}']","['{""combination"": ""wet book"", ""modifier"": ""wet""}']","{'combination': 'wet book', 'modifier': 'wet'}",wet book,wet,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666667,"{'combination': 'wet book', 'modifier': 'wet'}",wet book,wet,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666667,"{'combination': 'wet book', 'modifier': 'wet'}",wet book,wet,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.6666666666666667
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""frozen mosquito"", ""modifier"": ""frozen""}']","['{""combination"": ""frozen mosquito"", ""modifier"": ""frozen""}']","['{""combination"": ""frozen mosquito"", ""modifier"": ""frozen""}']","{'combination': 'frozen mosquito', 'modifier': 'frozen'}",frozen mosquito,frozen,1.0,1.0,1.0,0.0,"{'combination': 'frozen mosquito', 'modifier': 'frozen'}",frozen mosquito,frozen,1.0,1.0,1.0,0.0,"{'combination': 'frozen mosquito', 'modifier': 'frozen'}",frozen mosquito,frozen,1.0,1.0,1.0,0.0
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""newborn blackbird"", ""modifier"": ""newborn""}']","['{""combination"": ""baby blackbird"", ""modifier"": ""baby""}']","['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","{'combination': 'newborn blackbird', 'modifier': 'newborn'}",newborn blackbird,newborn,0.0,0.1111111111111111,0.1111111111111111,0.0,"{'combination': 'baby blackbird', 'modifier': 'baby'}",baby blackbird,baby,0.0,0.1111111111111111,0.1111111111111111,0.0,"{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
theyre almost like flying buses .,flying buses,bus,fly,impractical,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(3, 1, 2)","(3, 1, 3)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""underground bus"", ""modifier"": ""underground""}']","['{""combination"": ""floating bus"", ""modifier"": ""floating""}']","['{""combination"": ""underwater bus"", ""modifier"": ""underwater""}']","{'combination': 'underground bus', 'modifier': 'underground'}",underground bus,underground,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'floating bus', 'modifier': 'floating'}",floating bus,float,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'underwater bus', 'modifier': 'underwater'}",underwater bus,underwater,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
,a scope on a knife,scope,knife,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(2, 3, 4)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""toy scope"", ""modifier"": ""toy""}']","['{""combination"": ""toy scope"", ""modifier"": ""toy""}']","['{""combination"": ""tiny scope"", ""modifier"": ""tiny""}']","{'combination': 'toy scope', 'modifier': 'toy'}",toy scope,toy,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'toy scope', 'modifier': 'toy'}",toy scope,toy,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'tiny scope', 'modifier': 'tiny'}",tiny scope,tiny,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"Oh, no, my life is very real it is as real as light to darkness, it is absolute prose.'",light to darkness,light,darkness,opposite extremes,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(5, 4, 5)","(5, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""strobe light"", ""modifier"": ""strobe""}']","['{""combination"": ""strobe light"", ""modifier"": ""strobe""}']","['{""combination"": ""flashing light"", ""modifier"": ""flashing""}']","{'combination': 'strobe light', 'modifier': 'strobe'}",strobe light,strobe,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'strobe light', 'modifier': 'strobe'}",strobe light,strobe,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'flashing light', 'modifier': 'flashing'}",flashing light,flash,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
This is just like a finger shooting game me and my friend had!,a finger shooting,shooting,finger,playful,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(1, 3, 2)","(1, 3, 3)",0.5555555555555556,0.7777777777777778,0.0,0.2222222222222222,False,0.2222222222222222,"['{""combination"": ""water shooting"", ""modifier"": ""water""}']","['{""combination"": ""laser shooting"", ""modifier"": ""laser""}']","['{""combination"": ""water shooting"", ""modifier"": ""water""}']","{'combination': 'water shooting', 'modifier': 'water'}",water shooting,water,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'laser shooting', 'modifier': 'laser'}",laser shooting,laser,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'water shooting', 'modifier': 'water'}",water shooting,water,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
