sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,gpt-4o_naive_0_generated_,gpt-4o_naive_1_generated_,gpt-4o_naive_2_generated_,gpt-4o_naive_0_generated,gpt-4o_naive_0_property,gpt-4o_naive_0_combination_relevance,gpt-4o_naive_0_root_relevance,gpt-4o_naive_0_modifier_relevance,gpt-4o_naive_0_indiv_max,gpt-4o_naive_0_emergence,gpt-4o_naive_1_generated,gpt-4o_naive_1_property,gpt-4o_naive_1_combination_relevance,gpt-4o_naive_1_root_relevance,gpt-4o_naive_1_modifier_relevance,gpt-4o_naive_1_indiv_max,gpt-4o_naive_1_emergence,gpt-4o_naive_2_generated,gpt-4o_naive_2_property,gpt-4o_naive_2_combination_relevance,gpt-4o_naive_2_root_relevance,gpt-4o_naive_2_modifier_relevance,gpt-4o_naive_2_indiv_max,gpt-4o_naive_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"['{""property"": ""hidden""}']","['{""property"": ""stuckness""}']","['{""property"": ""forgotten""}']",{'property': 'hidden'},hidden,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,{'property': 'stuckness'},stuckness,1.0,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.2222222222222222,{'property': 'forgotten'},forgotten,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"['{""property"": ""absurdity""}']","['{""property"": ""unexpected""}']","['{""property"": ""unexpected""}']",{'property': 'absurdity'},absurdity,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'unexpected'},unexpected,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'unexpected'},unexpected,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"['{""property"": ""fragile""}']","['{""property"": ""brittle""}']","['{""property"": ""fragile""}']",{'property': 'fragile'},fragile,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,{'property': 'fragile'},fragile,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""mysterious""}']","['{""property"": ""mystical""}']","['{""property"": ""mystical""}']",{'property': 'mysterious'},mysterious,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.0,{'property': 'mystical'},mystical,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222,{'property': 'mystical'},mystical,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.2222222222222222
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""resilient""}']","['{""property"": ""resilient""}']","['{""property"": ""resilient""}']",{'property': 'resilient'},resilient,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,{'property': 'resilient'},resilient,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'resilient'},resilient,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""lethargic""}']","['{""property"": ""sluggish""}']","['{""property"": ""inactive""}']",{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'sluggish'},sluggish,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""novelty""}']","['{""property"": ""novelty""}']","['{""property"": ""novelty""}']",{'property': 'novelty'},novelty,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445,{'property': 'novelty'},novelty,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445,{'property': 'novelty'},novelty,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4444444444444445
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""property"": ""desperation""}']","['{""property"": ""desperation""}']","['{""property"": ""panic""}']",{'property': 'desperation'},desperation,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'desperation'},desperation,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.6666666666666666,{'property': 'panic'},panic,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""balance""}']","['{""property"": ""balance""}']","['{""property"": ""balance""}']",{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0,{'property': 'balance'},balance,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.0
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""attraction""}']","['{""property"": ""attraction""}']","['{""property"": ""attraction""}']",{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.2222222222222222,{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.2222222222222222,{'property': 'attraction'},attraction,1.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.2222222222222222
She somehow lifted upwards like a witch on a broom somewhere around the column,a witch on a broom,witch,broom,flying,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 4)","(4, 4, 2)",0.1111111111111111,0.7777777777777778,0.6666666666666666,0.0,False,0.6666666666666666,"['{""property"": ""mystical""}']","['{""property"": ""mystical""}']","['{""property"": ""mystical""}']",{'property': 'mystical'},mystical,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,{'property': 'mystical'},mystical,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,{'property': 'mystical'},mystical,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.0
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""property"": ""relief""}']","['{""property"": ""relief""}']","['{""property"": ""relief""}']",{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.2222222222222222,{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222,{'property': 'relief'},relief,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222
It is as likely as snow in hell.,snow in hell,snow,hell,unlikely,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333,"['{""property"": ""impossible""}']","['{""property"": ""impossible""}']","['{""property"": ""impossible""}']",{'property': 'impossible'},impossible,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,{'property': 'impossible'},impossible,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,{'property': 'impossible'},impossible,1.0,0.0,0.7777777777777778,0.7777777777777778,0.2222222222222222
"But then you are to go around like a wet cat, and mope, and hang on worse then ever.",a wet cat,cat,wet,miserable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 4)",0.4444444444444445,0.7777777777777778,0.1111111111111111,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""displeased""}']","['{""property"": ""miserable""}']","['{""property"": ""miserable""}']",{'property': 'displeased'},displeased,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333326,{'property': 'miserable'},miserable,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445,{'property': 'miserable'},miserable,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.4444444444444445
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""nested""}']","['{""property"": ""nesting""}']","['{""property"": ""nested""}']",{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0,{'property': 'nesting'},nesting,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'nested'},nested,1.0,0.0,0.0,0.0,1.0
"We do so like the smell of sheep, they said to which the old man replied, Yis, mum, an seea deea Ah bud Ah leykes t teeast on em betther!",the smell of sheep,smell,sheep,earthy,emergent,"(component, emergent, emergent)","(5, 4, 5)","(3, 3, 3)","(4, 3, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""rustic""}']","['{""property"": ""rustic""}']","['{""property"": ""pastoral""}']",{'property': 'rustic'},rustic,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'rustic'},rustic,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.2222222222222222,{'property': 'pastoral'},pastoral,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""rarity""}']","['{""property"": ""anomaly""}']","['{""property"": ""anomaly""}']",{'property': 'rarity'},rarity,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'anomaly'},anomaly,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556,{'property': 'anomaly'},anomaly,0.8888888888888888,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.5555555555555556
"The old man didn't go after him, and fight for four years, at a cost uv half his substance, to subdue him and bring him back, but when he hed run through his pile, and squandered his share uv the estate, and got hungry, he came back like a whipped dog.",a whipped dog,dog,whip,helpless,emergent,"(emergent, emergent, component)","(4, 5, 3)","(1, 4, 4)","(1, 3, 2)",0.6666666666666667,0.7777777777777778,0.1111111111111111,0.0,False,0.1111111111111111,"['{""property"": ""submissive""}']","['{""property"": ""submissive""}']","['{""property"": ""submissive""}']",{'property': 'submissive'},submissive,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'submissive'},submissive,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'submissive'},submissive,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""property"": ""accessible""}']","['{""property"": ""accessible""}']","['{""property"": ""accessibility""}']",{'property': 'accessible'},accessible,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'accessible'},accessible,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'accessibility'},accessibility,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667
"He was husky, but also fat like a watermelon with paws. ",a watermelon with paws,watermelon,paw,strange,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 4, 2)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""animated""}']","['{""property"": ""whimsical""}']","['{""property"": ""whimsical""}']",{'property': 'animated'},animated,0.0,0.0,0.0,0.0,0.0,{'property': 'whimsical'},whimsical,1.0,0.0,0.0,0.0,1.0,{'property': 'whimsical'},whimsical,1.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.7777777777777778
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""intense contrast""}']","['{""property"": ""intensity""}']","['{""property"": ""conflict""}']",{'property': 'intense contrast'},intense contrast,1.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.2222222222222222,{'property': 'intensity'},intensity,0.7777777777777778,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.0,{'property': 'conflict'},conflict,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""property"": ""destruction""}']","['{""property"": ""destruction""}']","['{""property"": ""symbolic""}']",{'property': 'destruction'},destruction,1.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'destruction'},destruction,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,{'property': 'symbolic'},symbolic,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.0
"The bars played freely like keys on a ring, and splayed out in their flight, and did the most dreadful execution.",keys on a ring,key,ring,jingly,emergent,"(emergent, emergent, component)","(5, 5, 4)","(2, 2, 3)","(1, 3, 2)",0.0,0.7777777777777778,0.7777777777777778,0.3333333333333333,False,0.7777777777777778,"['{""property"": ""organization""}']","['{""property"": ""organized""}']","['{""property"": ""organized""}']",{'property': 'organization'},organization,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'organized'},organized,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'organized'},organized,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""preserved""}']","['{""property"": ""enlightened pest""}']","['{""property"": ""trapped""}']",{'property': 'preserved'},preserved,1.0,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,{'property': 'enlightened pest'},enlightened pest,0.0,0.0,0.0,0.0,0.0,{'property': 'trapped'},trapped,1.0,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""property"": ""rare""}']","['{""property"": ""mythical""}']","['{""property"": ""rare""}']",{'property': 'rare'},rare,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'mythical'},mythical,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,{'property': 'rare'},rare,0.8888888888888888,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.5555555555555556
I was as lively as a dog with wings.,a dog with wings,dog,wing,unreal,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 1)","(2, 4, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""property"": ""fantastical""}']","['{""property"": ""fantastical""}']","['{""property"": ""mythical""}']",{'property': 'fantastical'},fantastical,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'fantastical'},fantastical,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777,{'property': 'mythical'},mythical,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777777
