sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,C,C_T,qwen2.5:72b_sa-llm&conceptnet_0_generated_,qwen2.5:72b_sa-llm&conceptnet_1_generated_,qwen2.5:72b_sa-llm&conceptnet_2_generated_,qwen2.5:72b_sa-llm&conceptnet_0_generated,qwen2.5:72b_sa-llm&conceptnet_0_property,qwen2.5:72b_sa-llm&conceptnet_0_combination_relevance,qwen2.5:72b_sa-llm&conceptnet_0_root_relevance,qwen2.5:72b_sa-llm&conceptnet_0_modifier_relevance,qwen2.5:72b_sa-llm&conceptnet_0_indiv_max,qwen2.5:72b_sa-llm&conceptnet_0_cancellation,qwen2.5:72b_sa-llm&conceptnet_1_generated,qwen2.5:72b_sa-llm&conceptnet_1_property,qwen2.5:72b_sa-llm&conceptnet_1_combination_relevance,qwen2.5:72b_sa-llm&conceptnet_1_root_relevance,qwen2.5:72b_sa-llm&conceptnet_1_modifier_relevance,qwen2.5:72b_sa-llm&conceptnet_1_indiv_max,qwen2.5:72b_sa-llm&conceptnet_1_cancellation,qwen2.5:72b_sa-llm&conceptnet_2_generated,qwen2.5:72b_sa-llm&conceptnet_2_property,qwen2.5:72b_sa-llm&conceptnet_2_combination_relevance,qwen2.5:72b_sa-llm&conceptnet_2_root_relevance,qwen2.5:72b_sa-llm&conceptnet_2_modifier_relevance,qwen2.5:72b_sa-llm&conceptnet_2_indiv_max,qwen2.5:72b_sa-llm&conceptnet_2_cancellation
"Then like cats on a mouse, they pounced.",cats on a mouse,cat,mouse,functional,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(1, 2, 1)","(1, 2, 1)",0.0,0.7777777777777778,0.5555555555555556,0.822222222,False,0.7777777777777778,0.7777777777777778,"{0: ['cat', 'mouse'], 1: ['mouse', 'hunt mice', 'cat'], 2: [], 3: [], 4: [], 5: []}",[],"['{""property"": ""predatory""}']","['{""property"": ""predator""}']","['{""property"": ""predator""}']",{'property': 'predatory'},predatory,0.8888888888888888,0.7777777777777778,0.0,0.7777777777777778,0.0,{'property': 'predator'},predator,0.8888888888888888,0.7777777777777778,0.0,0.7777777777777778,0.0,{'property': 'predator'},predator,0.8888888888888888,0.7777777777777778,0.0,0.7777777777777778,0.0
Theyre out there walking up and down like two wooden men but they didnt see me get by.,two wooden men,men,wooden,mammalian,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"{0: ['men', 'wooden'], 1: ['men', 'male', 'wooden'], 2: ['boys', 'wooden'], 3: [], 4: [], 5: []}",[],"['{""property"": ""male""} \n\nReasoning: In the combination ""two wooden men,"" the term ""men"" implies that both figures are male. However, when considering the concept of ""wooden"" (which suggests they are inanimate objects or statues), the property of being ""male"" is not applicable to the combination as a whole because inanimate objects do not have gender attributes. Therefore, ""male"" is a property that applies to one of the individual components (""men"") but does not apply to the combination ""two wooden men.""']","['{""property"": ""alive""}']","['{""property"": ""male""} \n\nReasoning process:\n1. The combination is ""two wooden men."" We need to find a property that applies to either ""two,"" ""wooden,"" or ""men"" but does not apply to the combination as a whole.\n2. ""Two"" indicates quantity and doesn\'t provide properties related to individuals.\n3. ""Wooden"" describes the material, which is consistent across the combination.\n4. ""Men"" implies that they are male, but in this context, ""wooden men"" could be figurative or symbolic, not necessarily representing actual males.\n5. The property ""male"" applies to ""men"" individually but does not apply to ""two wooden men"" as a whole because the term can refer to statues, figures, or other representations that are not inherently male in nature.\n\nThus, the canceled property is {""property"": ""male""}.']",{'property': 'male'},male,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667,{'property': 'alive'},alive,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'male'},male,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667
"this fox and hound game would be a joke , it was more like the eagle and the worm , cowardly and woefully one sided .",the eagle and the worm,eagle,worm,high,canceled,"(canceled, canceled, canceled)","(2, 2, 3)","(5, 5, 5)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,0.0,False,0.0,0.7777777777777778,"{0: ['eagle', 'worm'], 1: ['worm', 'eagle'], 2: ['worm', 'eagle'], 3: ['worm', 'eagle'], 4: ['worm', 'eagle'], 5: ['worm', 'eagle']}","['worm', 'eagle']","['{""property"": ""flight""} \n\nReasoning: The property ""flight"" belongs to an eagle but does not apply to a worm. In the combination ""the eagle and the worm,"" while the eagle can fly, the presence of the worm means that flight is not a characteristic of the combination as a whole. Therefore, ""flight"" is a canceled property in this context.']","['{""property"": ""flight""}']","['{""property"": ""flight""}']",{'property': 'flight'},flight,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667,{'property': 'flight'},flight,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667,{'property': 'flight'},flight,0.3333333333333333,1.0,0.0,1.0,0.6666666666666667
"and a strong shudder took possession of him, as uncontrollable as an ague fit.",an ague fit,fit,ague,well,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(4, 4, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"{0: ['fit', 'ague'], 1: ['fit', 'ague'], 2: ['fit', 'ague'], 3: ['fit', 'ague'], 4: ['fit', 'ague'], 5: ['fit', 'ague']}","['fit', 'ague']","['{""property"": ""chill""} \n\nReasoning:\n- ""Ague"" is a term for a fever, especially one with recurring chills and sweating.\n- ""Fit"" in this context refers to an episode or attack of the ague (fever).\n- The property ""chill"" is directly associated with ""ague"" as it often involves cold sensations or shivering.\n- However, when combined into ""an ague fit,"" the term describes a more complex condition that includes both chills and other symptoms like fever. Thus, while ""chill"" can be a prominent feature of an ague, it does not fully capture the nature of ""an ague fit"" as a whole, which also involves fevers and potentially other symptoms.\n- Therefore, ""chill"" is a property that belongs to ""ague"" but not necessarily to ""an ague fit"" in its entirety.']","['{""property"": ""feverish""} \n\nReasoning:\n- ""Ague"" is a disease characterized by periods of chills, fever, and sweating. The term ""fit"" in this context refers to an episode or attack of the symptoms.\n- Individually, ""ague"" can be associated with fever, which makes the property ""feverish"" applicable to it.\n- However, when combined as ""an ague fit,"" the focus shifts to the cyclical nature of the condition, where the person experiences alternating chills and fevers. The term ""fit"" suggests a sudden and intense episode rather than a continuous fever.\n- Therefore, while ""ague"" can be described as ""feverish,"" the combination ""an ague fit"" encompasses more than just being feverish, including chills and sweating. Thus, ""feverish"" is a property of ""ague"" but not necessarily of ""an ague fit"" as a whole.']","['{""property"": ""continuous""} \n\nReasoning:\n- ""Ague"" refers to a disease characterized by recurring chills and fever, often associated with malaria.\n- ""Fit"" in this context refers to an episode or attack of the symptoms of ague.\n- The property ""continuous"" applies to neither ""ague"" nor ""fit"" individually. However, ""ague"" implies intermittent episodes (fits) rather than a continuous condition. Therefore, ""continuous"" is a property that does not apply to ""an ague fit"" as a whole but might be mistakenly attributed to one of its components if considering the disease in a general sense without understanding its episodic nature.']",{'property': 'chill'},chill,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.0,{'property': 'feverish'},feverish,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,{'property': 'continuous'},continuous,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,black,canceled,"(canceled, canceled, canceled)","(2, 1, 1)","(5, 5, 5)","(1, 2, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"{0: ['crow', 'white'], 1: ['bird', 'crow', 'white'], 2: ['bird', 'crow', 'white'], 3: ['bird', 'crow', 'white'], 4: ['bird', 'crow', 'white'], 5: ['bird', 'crow', 'white']}","['bird', 'crow', 'white']","['{""property"": ""black""} \n\nReasoning: The property ""black"" is typically associated with the concept of a ""crow"" as crows are generally known for their black feathers. However, when considering the combination ""a white crow,"" the property ""black"" no longer applies because the crow in this context is described as white. Therefore, ""black"" is a canceled property that belongs to ""crow"" individually but does not apply to the combination ""a white crow.""']","['{""property"": ""black""} \n\nReasoning: The property ""black"" is typically associated with the concept of a ""crow"" as crows are commonly known for their black feathers. However, when combined into ""a white crow,"" this property no longer applies to the combination because the crow in question is described as white. Thus, ""black"" is a canceled property of ""a white crow.""']","['{""property"": ""black""}']",{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'black'},black,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
"I personally felt the last season was kinda weird the season finale the year before fore wrapped up everything nicely, the last season felt kinda like a weird epilogue.",a weird epilogue,epilogue,weird,conclusive,canceled,"(canceled, component, canceled)","(2, 4, 2)","(5, 5, 5)","(1, 1, 1)",0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"{0: ['epilogue', 'weird'], 1: ['weird', 'epilogue'], 2: ['epilogue', 'weird'], 3: ['weird', 'epilogue'], 4: ['epilogue', 'weird'], 5: ['weird', 'epilogue']}","['weird', 'epilogue']","['{""property"": ""expected""} \n\nReasoning: The property ""expected"" applies to the concept of an ""epilogue,"" as epilogues are generally expected parts of a narrative that provide closure or additional information after the main story. However, when combined with ""weird,"" the combination ""a weird epilogue"" suggests something unusual or unexpected, which contradicts the general expectation associated with a typical epilogue. Thus, ""expected"" is a property that belongs to ""epilogue"" but not to ""a weird epilogue.""']","['{""property"": ""conclusive""} \n\nReasoning: The property ""conclusive"" applies to the concept of an ""epilogue,"" which typically serves as a conclusion or final part of a story. However, when combined with ""weird,"" it suggests that the epilogue is unconventional, strange, or does not provide a clear or satisfying conclusion. Thus, ""conclusive"" is a property of ""epilogue"" but not of ""a weird epilogue.""']","['{""property"": ""conclusive""}']",{'property': 'expected'},expected,0.1111111111111111,0.7777777777777778,0.0,0.7777777777777778,0.6666666666666667,{'property': 'conclusive'},conclusive,0.2222222222222222,0.8888888888888888,0.0,0.8888888888888888,0.6666666666666666,{'property': 'conclusive'},conclusive,0.2222222222222222,1.0,0.0,1.0,0.7777777777777778
,non theists,theist,non,belief in god,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(2, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"{0: ['theist', 'non'], 1: ['theist', 'non'], 2: ['theist', 'non'], 3: ['theist', 'non'], 4: ['theist', 'non'], 5: ['theist', 'non']}","['theist', 'non']","['{""property"": ""belief_in_god""}']","['{""property"": ""believes_in_god""}']","['{""property"": ""belief_in_god""}']",{'property': 'belief_in_god'},belief_in_god,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'believes_in_god'},believes_in_god,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'belief_in_god'},belief_in_god,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
,the teeth of a comb,tooth,comb,enamel,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"{0: ['tooth', 'comb'], 1: ['comb', 'cavity', 'tooth'], 2: ['comb', 'cavity', 'tooth'], 3: ['comb', 'cavity', 'tooth'], 4: ['comb', 'cavity', 'tooth'], 5: ['comb', 'cavity', 'tooth']}","['comb', 'cavity', 'tooth']","['{""property"": ""movable""}']","['{""property"": ""hollow""}']","['{""property"": ""hollow""}']",{'property': 'movable'},movable,0.0,0.3333333333333333,1.0,1.0,1.0,{'property': 'hollow'},hollow,0.0,0.0,0.0,0.0,0.0,{'property': 'hollow'},hollow,0.0,0.0,0.0,0.0,0.0
,a villager under ice,villager,ice,community-oriented,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,,False,0.0,0.7777777777777778,"{0: ['villager', 'ice'], 1: ['villager', 'ice'], 2: ['villager', 'ice'], 3: ['villager', 'ice'], 4: ['villager', 'ice'], 5: ['villager', 'ice']}","['villager', 'ice']","['{""property"": ""mobile""}']","['{""property"": ""mobile""} \n\nReasoning: The property ""mobile"" applies to the individual component ""villager,"" as villagers are generally capable of movement. However, when a villager is described as being ""under ice,"" their ability to move freely is significantly restricted or eliminated. Therefore, ""mobile"" is a canceled property for the combination ""a villager under ice.""']","['{""property"": ""warm""}']",{'property': 'mobile'},mobile,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,{'property': 'mobile'},mobile,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3333333333333333,{'property': 'warm'},warm,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
"Now considering Earth exists I doubt life is as unlikely as a cube planet, but you get my point. ",a cube planet,planet,cube,spherical shape,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"{0: ['planet', 'cube'], 1: ['cube', 'planet'], 2: ['cube', 'planet'], 3: ['cube', 'planet'], 4: ['cube', 'planet'], 5: ['cube', 'planet']}","['cube', 'planet']","['{""property"": ""natural""}']","['{""property"": ""spherical""}']","['{""property"": ""spherical""}']",{'property': 'natural'},natural,0.0,1.0,0.2222222222222222,1.0,1.0,{'property': 'spherical'},spherical,0.0,1.0,0.0,1.0,1.0,{'property': 'spherical'},spherical,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
