sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_multi_0_generated_,Meta-Llama-3.1-70B-Instruct_multi_1_generated_,Meta-Llama-3.1-70B-Instruct_multi_2_generated_
"Many of these contain great quantities of fish, though, so far as the Great Lakes are concerned, the fish stories of the pioneers read now like idle tales but still the commercial fisheries of the province bring in over 2,333,000 480,000, and give employment to several thousand men.",idle tales,tale,idle,untruthful,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 3, 3)","(4, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""tall tale"", ""modifier"": ""tall""}', '{""combination"": ""fairy tale"", ""modifier"": ""fairy""}', '{""combination"": ""fictional tale"", ""modifier"": ""fictional""}', '{""combination"": ""fictional tale"", ""modifier"": ""fictional""}', '{""combination"": ""fictional tale"", ""modifier"": ""fictional""}']","['{""combination"": ""fictional tale"", ""modifier"": ""fictional""}', '{""combination"": ""tall tale"", ""modifier"": ""tall""}', '{""combination"": ""fabricated tale"", ""modifier"": ""fabricated""}', '{""combination"": ""tall tale"", ""modifier"": ""tall""}', '{""combination"": ""false tale"", ""modifier"": ""false""}']","['{""combination"": ""false tale"", ""modifier"": ""false""}', '{""combination"": ""tall tale"", ""modifier"": ""tall""}', '{""combination"": ""fictional tale"", ""modifier"": ""fictional""}', '{""combination"": ""tall tale"", ""modifier"": ""tall""}', '{""combination"": ""fabricated tale"", ""modifier"": ""fabricated""}']"
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""stuffed lizard"", ""modifier"": ""stuffed""}', '{""combination"": ""dead lizard"", ""modifier"": ""dead""}', '{""combination"": ""stone lizard"", ""modifier"": ""stone""}', '{""combination"": ""petrified lizard"", ""modifier"": ""petrified""}', '{""combination"": ""stone lizard"", ""modifier"": ""stone""}']","['{""combination"": ""stone lizard"", ""modifier"": ""stone""}', '{""combination"": ""stuffed lizard"", ""modifier"": ""stuffed""}', '{""combination"": ""stuffed lizard"", ""modifier"": ""stuffed""}', '{""combination"": ""frozen lizard"", ""modifier"": ""frozen""}', '{""combination"": ""stone lizard"", ""modifier"": ""stone""}']","['{""combination"": ""stone lizard"", ""modifier"": ""stone""}', '{""combination"": ""stuffed lizard"", ""modifier"": ""stuffed""}', '{""combination"": ""stone lizard"", ""modifier"": ""stone""}', '{""combination"": ""dead lizard"", ""modifier"": ""dead""}', '{""combination"": ""frozen lizard"", ""modifier"": ""frozen""}']"
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}', '{""combination"": ""flat soda"", ""modifier"": ""flat""}']"
"Of course, the count is a serious matter gun for gun is diplomatically as important as an eye for an eye.",an eye for an eye,eye,eye,retributive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(2, 2, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""vengeful eye"", ""modifier"": ""vengeful""}']","['{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""vengeful eye"", ""modifier"": ""vengeful""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}']","['{""combination"": ""third eye"", ""modifier"": ""third""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}', '{""combination"": ""evil eye"", ""modifier"": ""evil""}']"
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""water fire"", ""modifier"": ""water""}', '{""combination"": ""water fire"", ""modifier"": ""water""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}']","['{""combination"": ""water fire"", ""modifier"": ""water""}', '{""combination"": ""liquid fire"", ""modifier"": ""liquid""}', '{""combination"": ""electronic fire"", ""modifier"": ""electronic""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}']","['{""combination"": ""electric fire"", ""modifier"": ""electric""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""water fire"", ""modifier"": ""water""}', '{""combination"": ""electric fire"", ""modifier"": ""electric""}']"
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""happy end"", ""modifier"": ""happy""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}']","['{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""happy end"", ""modifier"": ""happy""}', '{""combination"": ""happy end"", ""modifier"": ""happy""}']","['{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""new end"", ""modifier"": ""new""}', '{""combination"": ""happy end"", ""modifier"": ""happy""}']"
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""Russian doll"", ""modifier"": ""Russian""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}']","['{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}']","['{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}', '{""combination"": ""matryoshka doll"", ""modifier"": ""matryoshka""}']"
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}']","['{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}', '{""combination"": ""albino crow"", ""modifier"": ""albino""}']"
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""combination"": ""enlarged spot"", ""modifier"": ""enlarged""}', '{""combination"": ""big spot"", ""modifier"": ""big""}', '{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""big spot"", ""modifier"": ""big""}', '{""combination"": ""large spot"", ""modifier"": ""large""}']","['{""combination"": ""big spot"", ""modifier"": ""big""}', '{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""big spot"", ""modifier"": ""big""}', '{""combination"": ""enlarged spot"", ""modifier"": ""enlarged""}', '{""combination"": ""large spot"", ""modifier"": ""large""}']","['{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""large spot"", ""modifier"": ""large""}', '{""combination"": ""big spot"", ""modifier"": ""big""}']"
"Lady Romaine waved her scented kerchief, and then routed her scentbottle out of her reticule, and turning sharply upon her daughter, said, Why sit you ever like a stuffed owl, without so much as a word or a smile?",a stuffed owl,owl,stuff,inactive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 1, 3)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']","['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']","['{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}', '{""combination"": ""sleeping owl"", ""modifier"": ""sleeping""}']"
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}']","['{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}']","['{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}', '{""combination"": ""controlled fire"", ""modifier"": ""controlled""}']"
"Elsie, who adored Clover, considered her as beautiful as girls in books, and was proud to be permitted to hem ruffles for the dress in which she was to burst upon the world.",girls in books,girl,book,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(4, 2, 2)","(4, 2, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""celebrity girl"", ""modifier"": ""celebrity""}', '{""combination"": ""perfect girl"", ""modifier"": ""perfect""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}', '{""combination"": ""celebrity girl"", ""modifier"": ""celebrity""}', '{""combination"": ""celebrity girl"", ""modifier"": ""celebrity""}']","['{""combination"": ""perfect girl"", ""modifier"": ""perfect""}', '{""combination"": ""perfect girl"", ""modifier"": ""perfect""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}', '{""combination"": ""perfect girl"", ""modifier"": ""perfect""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}']","['{""combination"": ""feminist girl"", ""modifier"": ""feminist""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}', '{""combination"": ""mythical girl"", ""modifier"": ""mythical""}', '{""combination"": ""feminist girl"", ""modifier"": ""feminist""}']"
