sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-mini-2024-09-12_naive_0_generated_,o1-mini-2024-09-12_naive_1_generated_,o1-mini-2024-09-12_naive_2_generated_,o1-mini-2024-09-12_naive_0_generated,o1-mini-2024-09-12_naive_0_combination,o1-mini-2024-09-12_naive_0_modifier,o1-mini-2024-09-12_naive_0_combination_relevance,o1-mini-2024-09-12_naive_0_modifier_relevance,o1-mini-2024-09-12_naive_0_indiv_max,o1-mini-2024-09-12_naive_0_emergence,o1-mini-2024-09-12_naive_1_generated,o1-mini-2024-09-12_naive_1_combination,o1-mini-2024-09-12_naive_1_modifier,o1-mini-2024-09-12_naive_1_combination_relevance,o1-mini-2024-09-12_naive_1_modifier_relevance,o1-mini-2024-09-12_naive_1_indiv_max,o1-mini-2024-09-12_naive_1_emergence,o1-mini-2024-09-12_naive_2_generated,o1-mini-2024-09-12_naive_2_combination,o1-mini-2024-09-12_naive_2_modifier,o1-mini-2024-09-12_naive_2_combination_relevance,o1-mini-2024-09-12_naive_2_modifier_relevance,o1-mini-2024-09-12_naive_2_indiv_max,o1-mini-2024-09-12_naive_2_emergence
"Many of these contain great quantities of fish, though, so far as the Great Lakes are concerned, the fish stories of the pioneers read now like idle tales but still the commercial fisheries of the province bring in over 2,333,000 480,000, and give employment to several thousand men.",idle tales,tale,idle,untruthful,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 3, 3)","(4, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""tall tale"", ""modifier"": ""tall""}']","['{""combination"": ""folk tale"", ""modifier"": ""folk""}']","['{""combination"": ""tall tale"", ""modifier"": ""tall""}']","{'combination': 'tall tale', 'modifier': 'tall'}",tall tale,tall,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'folk tale', 'modifier': 'folk'}",folk tale,folk,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'tall tale', 'modifier': 'tall'}",tall tale,tall,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""resting lizard"", ""modifier"": ""resting""}']","['{""combination"": ""stone lizard"", ""modifier"": ""stone""}']","['{""combination"": ""plastic lizard"", ""modifier"": ""plastic""}']","{'combination': 'resting lizard', 'modifier': 'resting'}",resting lizard,rest,0.8888888888888888,1.0,1.0,0.0,"{'combination': 'stone lizard', 'modifier': 'stone'}",stone lizard,stone,1.0,1.0,1.0,0.0,"{'combination': 'plastic lizard', 'modifier': 'plastic'}",plastic lizard,plastic,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""diet soda"", ""modifier"": ""diet""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""warm soda"", ""modifier"": ""warm""}']","{'combination': 'diet soda', 'modifier': 'diet'}",diet soda,diet,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'warm soda', 'modifier': 'warm'}",warm soda,warm,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445
"Of course, the count is a serious matter gun for gun is diplomatically as important as an eye for an eye.",an eye for an eye,eye,eye,retributive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(2, 2, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""justice eye"", ""modifier"": ""justice""}']","['{""combination"": ""grim eye"", ""modifier"": ""grim""}']","['{""combination"": ""strict eye"", ""modifier"": ""strict""}']","{'combination': 'justice eye', 'modifier': 'justice'}",justice eye,justice,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'grim eye', 'modifier': 'grim'}",grim eye,grim,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'strict eye', 'modifier': 'strict'}",strict eye,strict,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.0
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","['{""combination"": ""water fire"", ""modifier"": ""water""}']","{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.0,0.0,1.0,"{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.0,0.0,1.0,"{'combination': 'water fire', 'modifier': 'water'}",water fire,water,1.0,0.0,0.0,1.0
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""happy end"", ""modifier"": ""happy""}']","['{""combination"": ""bright end"", ""modifier"": ""bright""}']","['{""combination"": ""happy end"", ""modifier"": ""happy""}']","{'combination': 'happy end', 'modifier': 'happy'}",happy end,happy,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'bright end', 'modifier': 'bright'}",bright end,bright,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.1111111111111111,"{'combination': 'happy end', 'modifier': 'happy'}",happy end,happy,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""Russian doll"", ""modifier"": ""Russian""}']","['{""combination"": ""Russian doll"", ""modifier"": ""Russian""}']","['{""combination"": ""Russian doll"", ""modifier"": ""Russian""}']","{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""blue crow"", ""modifier"": ""blue""}']","['{""combination"": ""white crow"", ""modifier"": ""white""}']","['{""combination"": ""silent crow"", ""modifier"": ""silent""}']","{'combination': 'blue crow', 'modifier': 'blue'}",blue crow,blue,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white crow', 'modifier': 'white'}",white crow,white,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'silent crow', 'modifier': 'silent'}",silent crow,silent,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""combination"": ""wide spot"", ""modifier"": ""wide""}']","['{""combination"": ""big spot"", ""modifier"": ""big""}']","['{""combination"": ""large spot"", ""modifier"": ""large""}']","{'combination': 'wide spot', 'modifier': 'wide'}",wide spot,wide,0.3333333333333333,0.0,0.0,0.3333333333333333,"{'combination': 'big spot', 'modifier': 'big'}",big spot,big,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'large spot', 'modifier': 'large'}",large spot,large,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.11111111111111105
"Lady Romaine waved her scented kerchief, and then routed her scentbottle out of her reticule, and turning sharply upon her daughter, said, Why sit you ever like a stuffed owl, without so much as a word or a smile?",a stuffed owl,owl,stuff,inactive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 1, 3)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""wooden owl"", ""modifier"": ""wooden""}']","['{""combination"": ""stone owl"", ""modifier"": ""stone""}']","['{""combination"": ""silent owl"", ""modifier"": ""silent""}']","{'combination': 'wooden owl', 'modifier': 'wooden'}",wooden owl,wooden,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'stone owl', 'modifier': 'stone'}",stone owl,stone,1.0,1.0,1.0,0.0,"{'combination': 'silent owl', 'modifier': 'silent'}",silent owl,silent,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""frozen fire"", ""modifier"": ""frozen""}']","['```json\n{""combination"": ""cold fire"", ""modifier"": ""cold""}\n```']","['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","{'combination': 'frozen fire', 'modifier': 'frozen'}",frozen fire,frozen,1.0,0.0,0.0,1.0,"{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
"Elsie, who adored Clover, considered her as beautiful as girls in books, and was proud to be permitted to hem ruffles for the dress in which she was to burst upon the world.",girls in books,girl,book,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(4, 2, 2)","(4, 2, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""young girl"", ""modifier"": ""young""}']","['{""combination"": ""dream girl"", ""modifier"": ""dream""}']","['{""combination"": ""storybook girl"", ""modifier"": ""storybook""}']","{'combination': 'young girl', 'modifier': 'young'}",young girl,young,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'dream girl', 'modifier': 'dream'}",dream girl,dream,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'storybook girl', 'modifier': 'storybook'}",storybook girl,storybook,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""wet book"", ""modifier"": ""wet""}']","['{""combination"": ""broken book"", ""modifier"": ""broken""}']","['{""combination"": ""broken book"", ""modifier"": ""broken""}']","{'combination': 'wet book', 'modifier': 'wet'}",wet book,wet,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.4444444444444445,"{'combination': 'broken book', 'modifier': 'broken'}",broken book,break,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'broken book', 'modifier': 'broken'}",broken book,break,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""static mosquito"", ""modifier"": ""static""}']","['{""combination"": ""sticky mosquito"", ""modifier"": ""sticky""}']","['{""combination"": ""sticky mosquito"", ""modifier"": ""sticky""}']","{'combination': 'static mosquito', 'modifier': 'static'}",static mosquito,static,1.0,1.0,1.0,0.0,"{'combination': 'sticky mosquito', 'modifier': 'sticky'}",sticky mosquito,sticky,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'sticky mosquito', 'modifier': 'sticky'}",sticky mosquito,sticky,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
theyre almost like flying buses .,flying buses,bus,fly,impractical,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(3, 1, 2)","(3, 1, 3)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""foldable bus"", ""modifier"": ""foldable""}']","['{""combination"": ""colorful bus"", ""modifier"": ""colorful""}']","['{""combination"": ""flying bus"", ""modifier"": ""flying""}']","{'combination': 'foldable bus', 'modifier': 'foldable'}",foldable bus,foldable,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.5555555555555556,"{'combination': 'colorful bus', 'modifier': 'colorful'}",colorful bus,colorful,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'flying bus', 'modifier': 'flying'}",flying bus,fly,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.33333333333333326
,a scope on a knife,scope,knife,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(2, 3, 4)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""grand scope"", ""modifier"": ""grand""}']","['{""combination"": ""ambitious scope"", ""modifier"": ""ambitious""}']","['{""combination"": ""ambitious scope"", ""modifier"": ""ambitious""}']","{'combination': 'grand scope', 'modifier': 'grand'}",grand scope,grand,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'ambitious scope', 'modifier': 'ambitious'}",ambitious scope,ambitious,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'ambitious scope', 'modifier': 'ambitious'}",ambitious scope,ambitious,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227
"Oh, no, my life is very real it is as real as light to darkness, it is absolute prose.'",light to darkness,light,darkness,opposite extremes,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(5, 4, 5)","(5, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""variable light"", ""modifier"": ""variable""}']","['{""combination"": ""binary light"", ""modifier"": ""binary""}']","['{""combination"": ""binary light"", ""modifier"": ""binary""}']","{'combination': 'variable light', 'modifier': 'variable'}",variable light,variable,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'binary light', 'modifier': 'binary'}",binary light,binary,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,"{'combination': 'binary light', 'modifier': 'binary'}",binary light,binary,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0
This is just like a finger shooting game me and my friend had!,a finger shooting,shooting,finger,playful,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(1, 3, 2)","(1, 3, 3)",0.5555555555555556,0.7777777777777778,0.0,0.2222222222222222,False,0.2222222222222222,"['{""combination"": ""friendly shooting"", ""modifier"": ""friendly""}']","['{""combination"": ""mock shooting"", ""modifier"": ""mock""}']","['{""combination"": ""water shooting"", ""modifier"": ""water""}']","{'combination': 'friendly shooting', 'modifier': 'friendly'}",friendly shooting,friendly,0.0,0.7777777777777778,0.7777777777777778,0.0,"{'combination': 'mock shooting', 'modifier': 'mock'}",mock shooting,mock,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"{'combination': 'water shooting', 'modifier': 'water'}",water shooting,water,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.4444444444444444
