sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,o1-2024-12-17_naive_0_generated_,o1-2024-12-17_naive_1_generated_,o1-2024-12-17_naive_2_generated_,o1-2024-12-17_naive_0_generated,o1-2024-12-17_naive_0_combination,o1-2024-12-17_naive_0_modifier,o1-2024-12-17_naive_0_combination_relevance,o1-2024-12-17_naive_0_modifier_relevance,o1-2024-12-17_naive_0_indiv_max,o1-2024-12-17_naive_0_emergence,o1-2024-12-17_naive_1_generated,o1-2024-12-17_naive_1_combination,o1-2024-12-17_naive_1_modifier,o1-2024-12-17_naive_1_combination_relevance,o1-2024-12-17_naive_1_modifier_relevance,o1-2024-12-17_naive_1_indiv_max,o1-2024-12-17_naive_1_emergence,o1-2024-12-17_naive_2_generated,o1-2024-12-17_naive_2_combination,o1-2024-12-17_naive_2_modifier,o1-2024-12-17_naive_2_combination_relevance,o1-2024-12-17_naive_2_modifier_relevance,o1-2024-12-17_naive_2_indiv_max,o1-2024-12-17_naive_2_emergence
"Many of these contain great quantities of fish, though, so far as the Great Lakes are concerned, the fish stories of the pioneers read now like idle tales but still the commercial fisheries of the province bring in over 2,333,000 480,000, and give employment to several thousand men.",idle tales,tale,idle,untruthful,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 3, 3)","(4, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333,"['{""combination"": ""tall tale"", ""modifier"": ""tall""}']","['{""combination"": ""tall tale"", ""modifier"": ""tall""}']","['{""combination"": ""tall tale"", ""modifier"": ""tall""}']","{'combination': 'tall tale', 'modifier': 'tall'}",tall tale,tall,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'tall tale', 'modifier': 'tall'}",tall tale,tall,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556,"{'combination': 'tall tale', 'modifier': 'tall'}",tall tale,tall,0.8888888888888888,0.0,0.3333333333333333,0.5555555555555556
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""concrete lizard"", ""modifier"": ""concrete""}']","['{""combination"": ""camouflaged lizard"", ""modifier"": ""camouflaged""}']","['{""combination"": ""cold lizard"", ""modifier"": ""cold""}']","{'combination': 'concrete lizard', 'modifier': 'concrete'}",concrete lizard,concrete,1.0,1.0,1.0,0.0,"{'combination': 'camouflaged lizard', 'modifier': 'camouflaged'}",camouflaged lizard,camouflage,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"{'combination': 'cold lizard', 'modifier': 'cold'}",cold lizard,cold,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","['{""combination"": ""flat soda"", ""modifier"": ""flat""}']","{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.33333333333333337,"{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'flat soda', 'modifier': 'flat'}",flat soda,flat,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222
"Of course, the count is a serious matter gun for gun is diplomatically as important as an eye for an eye.",an eye for an eye,eye,eye,retributive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 1)","(2, 2, 1)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""all-seeing eye"", ""modifier"": ""all-seeing""}']","['{""combination"": ""all-seeing eye"", ""modifier"": ""all-seeing""}']","['{""combination"": ""stern eye"", ""modifier"": ""stern""}']","{'combination': 'all-seeing eye', 'modifier': 'all-seeing'}",all-seeing eye,all,0.3333333333333333,0.0,0.0,0.3333333333333333,"{'combination': 'all-seeing eye', 'modifier': 'all-seeing'}",all-seeing eye,all,0.7777777777777778,0.0,0.0,0.7777777777777778,"{'combination': 'stern eye', 'modifier': 'stern'}",stern eye,stern,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""wet fire"", ""modifier"": ""wet""}']","['{""combination"": ""wet fire"", ""modifier"": ""wet""}']","['{""combination"": ""underwater fire"", ""modifier"": ""underwater""}']","{'combination': 'wet fire', 'modifier': 'wet'}",wet fire,wet,1.0,0.0,0.0,1.0,"{'combination': 'wet fire', 'modifier': 'wet'}",wet fire,wet,1.0,0.0,0.0,1.0,"{'combination': 'underwater fire', 'modifier': 'underwater'}",underwater fire,underwater,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
And boy isn't that almost like the end of overeating.,the end of overeating,end,overeating,improvement,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 4)","(1, 4, 3)",0.7777777777777778,0.7777777777777778,0.0,0.0,False,0.0,"['{""combination"": ""hopeful end"", ""modifier"": ""hopeful""}']","['{""combination"": ""fresh end"", ""modifier"": ""fresh""}']","['{""combination"": ""fresh end"", ""modifier"": ""fresh""}']","{'combination': 'hopeful end', 'modifier': 'hopeful'}",hopeful end,hopeful,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.2222222222222222,"{'combination': 'fresh end', 'modifier': 'fresh'}",fresh end,fresh,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'fresh end', 'modifier': 'fresh'}",fresh end,fresh,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0
I think a few of these guys in different sizes sidebysidebyside like Russian dolls would be amazing.,russian dolls,doll,russian,nested,emergent,"(emergent, component, emergent)","(5, 4, 5)","(2, 4, 4)","(3, 1, 2)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""Russian doll"", ""modifier"": ""Russian""}']","['{""combination"": ""telescopic doll"", ""modifier"": ""telescopic""}']","['{""combination"": ""russian doll"", ""modifier"": ""russian""}']","{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.0,0.0,1.0,"{'combination': 'telescopic doll', 'modifier': 'telescopic'}",telescopic doll,telescopic,0.7777777777777778,1.0,1.0,0.0,"{'combination': 'russian doll', 'modifier': 'russian'}",russian doll,russian,1.0,0.2222222222222222,0.2222222222222222,0.7777777777777778
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,uncommon,emergent,"(emergent, emergent, component)","(5, 5, 5)","(2, 1, 4)","(4, 1, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""white crow"", ""modifier"": ""white""}']","['{""combination"": ""blue crow"", ""modifier"": ""blue""}']","['{""combination"": ""pink crow"", ""modifier"": ""pink""}']","{'combination': 'white crow', 'modifier': 'white'}",white crow,white,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'blue crow', 'modifier': 'blue'}",blue crow,blue,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'pink crow', 'modifier': 'pink'}",pink crow,pink,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
The biggest issue is that normal spots are not as wide as handicap spots and it can make it more difficult to get in and out of the car.,handicap spots,spot,handicap,wider,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(5, 4, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0,"['{""combination"": ""growing spot"", ""modifier"": ""growing""}']","['{""combination"": ""ink spot"", ""modifier"": ""ink""}']","['{""combination"": ""growing spot"", ""modifier"": ""growing""}']","{'combination': 'growing spot', 'modifier': 'growing'}",growing spot,grow,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'ink spot', 'modifier': 'ink'}",ink spot,ink,0.0,0.0,0.0,0.0,"{'combination': 'growing spot', 'modifier': 'growing'}",growing spot,grow,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"Lady Romaine waved her scented kerchief, and then routed her scentbottle out of her reticule, and turning sharply upon her daughter, said, Why sit you ever like a stuffed owl, without so much as a word or a smile?",a stuffed owl,owl,stuff,inactive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(4, 1, 3)",0.6666666666666667,1.0,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""wooden owl"", ""modifier"": ""wooden""}']","['{""combination"": ""stuffed owl"", ""modifier"": ""stuffed""}']","['{""combination"": ""wooden owl"", ""modifier"": ""wooden""}']","{'combination': 'wooden owl', 'modifier': 'wooden'}",wooden owl,wooden,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444,"{'combination': 'stuffed owl', 'modifier': 'stuffed'}",stuffed owl,stuff,1.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,"{'combination': 'wooden owl', 'modifier': 'wooden'}",wooden owl,wooden,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
"Some are logical like fire vs ice, but otherwise no weaknesses.",fire vs ice,fire,ice,opposite properties,emergent,"(emergent, emergent, component)","(5, 5, 5)","(5, 4, 4)","(5, 4, 4)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","['{""combination"": ""cold fire"", ""modifier"": ""cold""}']","{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,"{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.0,0.0,1.0,"{'combination': 'cold fire', 'modifier': 'cold'}",cold fire,cold,1.0,0.5555555555555556,0.5555555555555556,0.4444444444444444
"Elsie, who adored Clover, considered her as beautiful as girls in books, and was proud to be permitted to hem ruffles for the dress in which she was to burst upon the world.",girls in books,girl,book,idealize,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(4, 2, 2)","(4, 2, 2)",0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""distant girl"", ""modifier"": ""distant""}']","['{""combination"": ""golden girl"", ""modifier"": ""golden""}']","['{""combination"": ""imaginary girl"", ""modifier"": ""imaginary""}']","{'combination': 'distant girl', 'modifier': 'distant'}",distant girl,distant,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'golden girl', 'modifier': 'golden'}",golden girl,golden,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'imaginary girl', 'modifier': 'imaginary'}",imaginary girl,imaginary,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.0
The ideas that make us immune to ideas are as popular as a book in a bonfire.,a book in a bonfire,book,bonfire,destroyed,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(5, 5, 4)",0.8888888888888888,1.0,0.1111111111111111,0.1111111111111111,False,0.1111111111111111,"['{""combination"": ""torn book"", ""modifier"": ""torn""}']","['{""combination"": ""waterlogged book"", ""modifier"": ""waterlogged""}']","['{""combination"": ""waterlogged book"", ""modifier"": ""waterlogged""}']","{'combination': 'torn book', 'modifier': 'torn'}",torn book,tear,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'waterlogged book', 'modifier': 'waterlogged'}",waterlogged book,waterlogge,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'waterlogged book', 'modifier': 'waterlogged'}",waterlogged book,waterlogge,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.11111111111111116
"With a thought, my mind went into the offensive and despite his greater speed, strength and durability, Jack became frozen like a mosquito in ember. ",a mosquito in ember,mosquito,ember,immobilized,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 3)",1.0,1.0,0.0,0.0,False,0.0,"['{""combination"": ""preserved mosquito"", ""modifier"": ""preserved""}']","['{""combination"": ""amber mosquito"", ""modifier"": ""amber""}']","['{""combination"": ""bloated mosquito"", ""modifier"": ""bloated""}']","{'combination': 'preserved mosquito', 'modifier': 'preserved'}",preserved mosquito,preserve,1.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,"{'combination': 'amber mosquito', 'modifier': 'amber'}",amber mosquito,amber,1.0,0.8888888888888888,0.8888888888888888,0.11111111111111116,"{'combination': 'bloated mosquito', 'modifier': 'bloated'}",bloated mosquito,bloat,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.11111111111111116
Such an instance among men is almost as rare as a white blackbird.,a white blackbird,blackbird,white,albino,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 2, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","['{""combination"": ""white blackbird"", ""modifier"": ""white""}']","{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556,"{'combination': 'white blackbird', 'modifier': 'white'}",white blackbird,white,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667
theyre almost like flying buses .,flying buses,bus,fly,impractical,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(3, 1, 2)","(3, 1, 3)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""wooden bus"", ""modifier"": ""wooden""}']","['{""combination"": ""tiny bus"", ""modifier"": ""tiny""}']","['{""combination"": ""wooden bus"", ""modifier"": ""wooden""}']","{'combination': 'wooden bus', 'modifier': 'wooden'}",wooden bus,wooden,0.8888888888888888,0.2222222222222222,0.2222222222222222,0.6666666666666666,"{'combination': 'tiny bus', 'modifier': 'tiny'}",tiny bus,tiny,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'wooden bus', 'modifier': 'wooden'}",wooden bus,wooden,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.5555555555555556
,a scope on a knife,scope,knife,impractical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(2, 3, 4)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"['{""combination"": ""wooden scope"", ""modifier"": ""wooden""}']","['{""combination"": ""oversized scope"", ""modifier"": ""oversized""}']","['{""combination"": ""bulky scope"", ""modifier"": ""bulky""}']","{'combination': 'wooden scope', 'modifier': 'wooden'}",wooden scope,wooden,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.4444444444444445,"{'combination': 'oversized scope', 'modifier': 'oversized'}",oversized scope,oversize,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,"{'combination': 'bulky scope', 'modifier': 'bulky'}",bulky scope,bulky,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0
"Oh, no, my life is very real it is as real as light to darkness, it is absolute prose.'",light to darkness,light,darkness,opposite extremes,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(5, 4, 5)","(5, 4, 5)",0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"['{""combination"": ""heavy light"", ""modifier"": ""heavy""}']","['{""combination"": ""strobe light"", ""modifier"": ""strobe""}']","['{""combination"": ""shadow light"", ""modifier"": ""shadow""}']","{'combination': 'heavy light', 'modifier': 'heavy'}",heavy light,heavy,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,"{'combination': 'strobe light', 'modifier': 'strobe'}",strobe light,strobe,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.0,"{'combination': 'shadow light', 'modifier': 'shadow'}",shadow light,shadow,0.3333333333333333,0.0,0.3333333333333333,0.0
This is just like a finger shooting game me and my friend had!,a finger shooting,shooting,finger,playful,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(1, 3, 2)","(1, 3, 3)",0.5555555555555556,0.7777777777777778,0.0,0.2222222222222222,False,0.2222222222222222,"['{""combination"": ""water shooting"", ""modifier"": ""water""}']","['{""combination"": ""laser shooting"", ""modifier"": ""laser""}']","['{""combination"": ""marshmallow shooting"", ""modifier"": ""marshmallow""}']","{'combination': 'water shooting', 'modifier': 'water'}",water shooting,water,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.22222222222222227,"{'combination': 'laser shooting', 'modifier': 'laser'}",laser shooting,laser,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,"{'combination': 'marshmallow shooting', 'modifier': 'marshmallow'}",marshmallow shooting,marshmallow,0.7777777777777778,0.0,0.0,0.7777777777777778
