sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max,C,C_T,qwen2.5:72b_sa-conceptnet_0_generated_,qwen2.5:72b_sa-conceptnet_1_generated_,qwen2.5:72b_sa-conceptnet_2_generated_,qwen2.5:72b_sa-conceptnet_0_generated,qwen2.5:72b_sa-conceptnet_0_property,qwen2.5:72b_sa-conceptnet_0_combination_relevance,qwen2.5:72b_sa-conceptnet_0_root_relevance,qwen2.5:72b_sa-conceptnet_0_modifier_relevance,qwen2.5:72b_sa-conceptnet_0_indiv_max,qwen2.5:72b_sa-conceptnet_0_emergence,qwen2.5:72b_sa-conceptnet_1_generated,qwen2.5:72b_sa-conceptnet_1_property,qwen2.5:72b_sa-conceptnet_1_combination_relevance,qwen2.5:72b_sa-conceptnet_1_root_relevance,qwen2.5:72b_sa-conceptnet_1_modifier_relevance,qwen2.5:72b_sa-conceptnet_1_indiv_max,qwen2.5:72b_sa-conceptnet_1_emergence,qwen2.5:72b_sa-conceptnet_2_generated,qwen2.5:72b_sa-conceptnet_2_property,qwen2.5:72b_sa-conceptnet_2_combination_relevance,qwen2.5:72b_sa-conceptnet_2_root_relevance,qwen2.5:72b_sa-conceptnet_2_modifier_relevance,qwen2.5:72b_sa-conceptnet_2_indiv_max,qwen2.5:72b_sa-conceptnet_2_emergence
Just like a post in the mud!,a post in the mud,post,mud,unmovable,emergent,"(component, emergent, emergent)","(5, 5, 5)","(5, 4, 4)","(3, 3, 2)",0.0,0.5555555555555556,0.5555555555555556,0.2222222222222222,False,0.5555555555555556,"{0: ['post', 'mud'], 1: ['mud', 'post'], 2: ['mud', 'post'], 3: ['mud', 'post'], 4: ['mud', 'post'], 5: ['mud', 'post']}","['mud', 'post']","['{""property"": ""embedded""}']","['{""property"": ""unsteady""}']","['{""property"": ""stuck""}']",{'property': 'embedded'},embedded,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'unsteady'},unsteady,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.0,{'property': 'stuck'},stuck,1.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444
"If I have to be in the water, I would prefer to just float around like an airy turd.",an airy turd,turd,airy,weightless,emergent,"(emergent, emergent, emergent)","(3, 2, 2)","(2, 1, 1)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,False,0.5555555555555556,"{0: ['turd', 'airy'], 1: ['turd', 'airy'], 2: ['turd', 'airy'], 3: ['turd', 'airy'], 4: ['turd', 'airy'], 5: ['turd', 'airy']}","['turd', 'airy']","['{""property"": ""lightweight""}']","['{""property"": ""buoyant""}']","['{""property"": ""lightweight""}']",{'property': 'lightweight'},lightweight,1.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.11111111111111116,{'property': 'buoyant'},buoyant,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.0,{'property': 'lightweight'},lightweight,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.11111111111111116
,a dried starfish,starfish,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 2)","(5, 4, 5)",0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,False,0.5555555555555556,"{0: ['starfish', 'dry'], 1: ['starfish'], 2: ['starfish'], 3: ['starfish'], 4: ['starfish'], 5: ['starfish']}",['starfish'],"['{""property"": ""brittle""} \n\nReasoning: The emergent property ""brittle"" describes a characteristic that arises from the combination of ""dried"" and ""starfish."" Individually, ""dried"" can describe many things but does not inherently imply brittleness. Similarly, ""starfish"" on its own is typically flexible and resilient in water. However, when combined, a ""dried starfish"" becomes brittle, which is a property that emerges from the interaction of being dried out and the physical structure of a starfish.']","['{""property"": ""brittle""}']","['{""property"": ""brittle""}']",{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'brittle'},brittle,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.11111111111111105,{'property': 'brittle'},brittle,1.0,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.2222222222222222
Such a betrothal as that of Quintus and Cornelia is as rare as a white raven.,a white raven,raven,white,rare,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 3, 5)",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.3333333333333333,False,0.3333333333333333,"{0: ['raven', 'white'], 1: ['raven', 'white'], 2: ['raven', 'white'], 3: ['raven', 'white'], 4: ['raven', 'white'], 5: ['raven', 'white']}","['raven', 'white']","['{""property"": ""albino""}']","['{""property"": ""unusual""}']","['{""property"": ""uncommon""} \n\nReasoning:\n- The word ""raven"" typically refers to a bird that is black. Therefore, a ""white raven"" would be highly unusual and not commonly observed in nature.\n- The property ""white"" alone does not convey rarity or uniqueness; it simply describes the color.\n- Similarly, ""raven"" alone does not suggest anything about its color being unusual.\n- When combined, ""white raven"" creates an image of a bird that is both a raven and white, which is uncommon in the natural world. This combination results in the emergent property of ""uncommon.""']",{'property': 'albino'},albino,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'unusual'},unusual,1.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.7777777777777778,{'property': 'uncommon'},uncommon,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
"When they opened their eyes again, they saw below them, in the bottom, a huge beech with a bough struck off and the white splinters bare, with leaves awkwardly twisted right round it stood there like a fellow with one arm off.",a fellow with one arm,fellow,arm,injure,emergent,"(component, emergent, emergent)","(3, 5, 4)","(2, 2, 1)","(5, 4, 3)",0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333,"{0: ['fellow', 'arm'], 1: ['arm', 'fellow'], 2: ['arm', 'fellow'], 3: ['arm', 'fellow'], 4: ['arm', 'fellow'], 5: ['arm', 'fellow']}","['arm', 'fellow']","['{""property"": ""unbalanced""}']","['{""property"": ""asymmetrical""}']","['{""property"": ""unilateral""} \n\nReasoning: The emergent property of ""a fellow with one arm"" is ""unilateral,"" which means affecting or involving only one side. This property does not belong to ""fellow"" or ""arm"" individually but emerges when the two concepts are combined, as it describes a condition where the individual has an imbalance due to having only one arm.']",{'property': 'unbalanced'},unbalanced,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.33333333333333337,{'property': 'asymmetrical'},asymmetrical,1.0,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,{'property': 'unilateral'},unilateral,1.0,0.0,0.0,0.0,1.0
"I often lay there like a cold lizard, waiting to eat my next meal while my partner finishes... so probably.",a cold lizard,lizard,cold,motionless,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(5, 3, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['lizard', 'cold'], 1: ['lizard', 'cold'], 2: ['lizard', 'cold'], 3: ['lizard', 'cold'], 4: ['lizard', 'cold'], 5: ['lizard', 'cold']}","['lizard', 'cold']","['{""property"": ""lethargic""}']","['{""property"": ""lethargic""}']","['{""property"": ""inactive""} \n\n### Reasoning:\nTo find an emergent property of ""a cold lizard"" that does not belong to either ""cold"" or ""lizard"" individually, we need to consider the unique characteristics that arise when these two concepts are combined.\n\n- **Cold**: This describes a temperature state. On its own, it can describe various things but doesn\'t specifically relate to activity levels.\n- **Lizard**: A reptile that is typically active and responsive in warm conditions. However, being cold-blooded, lizards rely on external heat sources to regulate their body temperature.\n\nWhen a lizard is cold, its metabolism slows down, and it becomes less active or even immobile. This state of reduced activity is an emergent property because:\n- **""Inactive""** does not apply to ""cold"" alone, as being cold can affect different organisms in various ways.\n- **""Inactive""** also does not apply to a lizard that is at its optimal temperature, which would be active.\n\nThus, the emergent property of a cold lizard is ""inactive.""']",{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'lethargic'},lethargic,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.33333333333333326,{'property': 'inactive'},inactive,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556
Nothing goes with buffalo wing soda quite like bacon soda.,bacon soda,soda,bacon,unappealing taste,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(3, 2, 4)",0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,False,0.1111111111111111,"{0: ['soda', 'bacon'], 1: ['soda'], 2: ['soda'], 3: ['soda'], 4: ['soda'], 5: ['soda']}",['soda'],"['{""property"": ""carbonated savory""}']","['{""property"": ""fizzy""} \n\nReasoning:\n- The combination ""bacon soda"" brings together two very different elements: ""bacon,"" which is a type of meat, and ""soda,"" which is a carbonated beverage.\n- Individually, ""bacon"" does not have any inherent property related to carbonation or effervescence, and ""soda"" on its own is already characterized by being carbonated.\n- However, when you combine the concept of bacon (a savory, salty food) with soda (a sweet, fizzy drink), a new emergent property arises that does not belong to either component alone. The most fitting emergent property here is ""fizzy,"" which describes the bubbling, effervescent nature that is typically associated with soda but is an unusual and novel characteristic when combined with bacon.\n- Therefore, the emergent property of ""bacon soda"" is ""fizzy.""']","['{""property"": ""fizzy""} \n\nReasoning: The combination of ""bacon"" and ""soda"" creates a unique property that does not belong to either component individually. ""Bacon"" is typically associated with a savory, meaty flavor and texture, while ""soda"" is a carbonated beverage often characterized by its effervescence or fizziness. When combined, the idea of ""bacon soda"" could imply a beverage that has the unexpected quality of being both bacon-flavored and fizzy. The emergent property here is ""fizzy,"" which captures the unique characteristic of this combination that does not inherently belong to bacon but emerges from the fusion with soda.']",{'property': 'carbonated savory'},carbonated savory,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,{'property': 'fizzy'},fizzy,0.5555555555555556,0.8888888888888888,0.0,0.8888888888888888,0.0,{'property': 'fizzy'},fizzy,0.5555555555555556,0.8888888888888888,0.0,0.8888888888888888,0.0
"Right, because the climate is JUST LIKE a sinking vessel. ",a sinking vessel,vessel,sink,precarious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 2, 3)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,"{0: ['vessel', 'sink'], 1: ['sink', 'vessel'], 2: ['sink', 'vessel'], 3: ['sink', 'vessel'], 4: ['sink', 'vessel'], 5: ['sink', 'vessel']}","['sink', 'vessel']","['{""property"": ""endangered""}']","['{""property"": ""endangered""}']","['{""property"": ""endangered""}']",{'property': 'endangered'},endangered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'endangered'},endangered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556,{'property': 'endangered'},endangered,0.8888888888888888,0.3333333333333333,0.0,0.3333333333333333,0.5555555555555556
You are about as congenial as fire and water.',fire and water,fire,water,incompatible,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 5, 4)","(4, 5, 4)",1.0,1.0,0.0,0.0,False,0.0,"{0: ['fire', 'water'], 1: ['smoke', 'water'], 2: ['smoke', 'water'], 3: ['smoke', 'water'], 4: ['smoke', 'water'], 5: ['smoke', 'water']}","['smoke', 'water']","['{""property"": ""steam""}']","['{""property"": ""steam""}']","['{""property"": ""steam""}']",{'property': 'steam'},steam,0.8888888888888888,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,{'property': 'steam'},steam,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.22222222222222227,{'property': 'steam'},steam,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.22222222222222227
,moths to a light,moth,light,irresistible,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(4, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333,"{0: ['moth', 'light'], 1: ['light', 'moth'], 2: ['light', 'moth'], 3: ['light', 'moth'], 4: ['light', 'moth'], 5: ['light', 'moth']}","['light', 'moth']","['{""property"": ""attracted""}']","['{""property"": ""attracted""}']","['{""property"": ""attracted""}']",{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.11111111111111116,{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.11111111111111116,{'property': 'attracted'},attracted,1.0,0.8888888888888888,0.0,0.8888888888888888,0.11111111111111116
