sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_cancellation,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt4o_relevance,meta.toxicity,meta.modifier_gpt-4o_relevance,meta.gpt-4o_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_0_generated_,Meta-Llama-3.1-70B-Instruct_cot_1_generated_,Meta-Llama-3.1-70B-Instruct_cot_2_generated_,Meta-Llama-3.1-70B-Instruct_cot_0_generated,Meta-Llama-3.1-70B-Instruct_cot_0_property,Meta-Llama-3.1-70B-Instruct_cot_0_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_0_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_0_cancellation,Meta-Llama-3.1-70B-Instruct_cot_1_generated,Meta-Llama-3.1-70B-Instruct_cot_1_property,Meta-Llama-3.1-70B-Instruct_cot_1_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_1_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_1_cancellation,Meta-Llama-3.1-70B-Instruct_cot_2_generated,Meta-Llama-3.1-70B-Instruct_cot_2_property,Meta-Llama-3.1-70B-Instruct_cot_2_combination_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_root_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_modifier_relevance,Meta-Llama-3.1-70B-Instruct_cot_2_indiv_max,Meta-Llama-3.1-70B-Instruct_cot_2_cancellation
"Then like cats on a mouse, they pounced.",cats on a mouse,cat,mouse,functional,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(1, 2, 1)","(1, 2, 1)",0.0,0.7777777777777778,0.5555555555555556,0.822222222,False,0.7777777777777778,0.7777777777777778,"['{""property"": ""large""}']","['{""property"": ""intimidating""}']","['{""property"": ""large""}']",{'property': 'large'},large,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,{'property': 'intimidating'},intimidating,0.8888888888888888,0.2222222222222222,0.0,0.2222222222222222,0.0,{'property': 'large'},large,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111
Theyre out there walking up and down like two wooden men but they didnt see me get by.,two wooden men,men,wooden,mammalian,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""animate""}']","['{""property"": ""animate""}']","['{""property"": ""animate""}']",{'property': 'animate'},animate,0.0,1.0,0.0,1.0,1.0,{'property': 'animate'},animate,0.0,1.0,0.0,1.0,1.0,{'property': 'animate'},animate,0.0,1.0,0.0,1.0,1.0
"this fox and hound game would be a joke , it was more like the eagle and the worm , cowardly and woefully one sided .",the eagle and the worm,eagle,worm,high,canceled,"(canceled, canceled, canceled)","(2, 2, 3)","(5, 5, 5)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,0.0,False,0.0,0.7777777777777778,"['{""property"": ""large""}']","['{""property"": ""weak""}']","['{""property"": ""strong""}']",{'property': 'large'},large,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,{'property': 'weak'},weak,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.22222222222222227,{'property': 'strong'},strong,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445
"and a strong shudder took possession of him, as uncontrollable as an ague fit.",an ague fit,fit,ague,well,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(4, 4, 3)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""contagious""}']","['{""property"": ""relaxing""}']","['{""property"": ""beneficial""}']",{'property': 'contagious'},contagious,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,{'property': 'relaxing'},relaxing,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,{'property': 'beneficial'},beneficial,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
But a gooid word throo some is as scarce as a white crow.,a white crow,crow,white,black,canceled,"(canceled, canceled, canceled)","(2, 1, 1)","(5, 5, 5)","(1, 2, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""common""}']","['{""property"": ""common""}']","['{""property"": ""common""}']",{'property': 'common'},common,0.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,{'property': 'common'},common,0.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,{'property': 'common'},common,0.0,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888
"I personally felt the last season was kinda weird the season finale the year before fore wrapped up everything nicely, the last season felt kinda like a weird epilogue.",a weird epilogue,epilogue,weird,conclusive,canceled,"(canceled, component, canceled)","(2, 4, 2)","(5, 5, 5)","(1, 1, 1)",0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""predictable""}']","['{""property"": ""typical""}']","['{""property"": ""expected""}']",{'property': 'predictable'},predictable,0.2222222222222222,0.5555555555555556,0.0,0.5555555555555556,0.33333333333333337,{'property': 'typical'},typical,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,{'property': 'expected'},expected,0.1111111111111111,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444445
,non theists,theist,non,belief in god,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(2, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""theistic""}']","['{""property"": ""theistic""}']","['{""property"": ""theistic""}']",{'property': 'theistic'},theistic,0.0,1.0,1.0,1.0,1.0,{'property': 'theistic'},theistic,0.0,1.0,1.0,1.0,1.0,{'property': 'theistic'},theistic,0.0,1.0,1.0,1.0,1.0
,the teeth of a comb,tooth,comb,enamel,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""sharp""}']","['{""property"": ""sharp""}']","['{""property"": ""sharp""}']",{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556
,a villager under ice,villager,ice,community-oriented,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 4)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,,False,0.0,0.7777777777777778,"['{""property"": ""breathing""}']","['{""property"": ""breathing""}']","['{""property"": ""visible""}']",{'property': 'breathing'},breathing,0.0,1.0,0.0,1.0,1.0,{'property': 'breathing'},breathing,0.0,1.0,0.0,1.0,1.0,{'property': 'visible'},visible,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777777
"Now considering Earth exists I doubt life is as unlikely as a cube planet, but you get my point. ",a cube planet,planet,cube,spherical shape,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""natural""}']","['{""property"": ""natural""}']","['{""property"": ""habitable""}']",{'property': 'natural'},natural,0.0,1.0,0.2222222222222222,1.0,1.0,{'property': 'natural'},natural,0.0,1.0,0.2222222222222222,1.0,1.0,{'property': 'habitable'},habitable,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
,"an army without a commander, or",army,commander,uniformed,canceled,"(canceled, canceled, component)","(3, 1, 3)","(5, 5, 4)","(2, 5, 4)",1.0,0.0,1.0,,False,0.8888888888888888,1.0,"['{""property"": ""coordinated""}']","['{""property"": ""organized""}']","['{""property"": ""coordinated""}']",{'property': 'coordinated'},coordinated,0.1111111111111111,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777777,{'property': 'organized'},organized,0.1111111111111111,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777777,{'property': 'coordinated'},coordinated,0.1111111111111111,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777777
"The second one would have to be built kind of like a ship in the bottle to make it fit inside, which is not entirely practical. ",a ship in the bottle,ship,bottle,engine-powered or sail-driven,canceled,"(canceled, canceled, canceled)","(2, 2, 1)","(5, 5, 4)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""sailable""}']","['{""property"": ""seaworthy""}']","['{""property"": ""seaworthy""}']",{'property': 'sailable'},sailable,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,{'property': 'seaworthy'},seaworthy,0.0,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.8888888888888888,{'property': 'seaworthy'},seaworthy,0.0,0.7777777777777778,0.1111111111111111,0.7777777777777778,0.7777777777777778
So like any game of telephone I bet these guys now think that urine cures everything like the Windex grandpa in Big Fat Greek Wedding lol.,any game of telephone,game,telephone,useful,canceled,"(canceled, canceled, others)","(3, 2, 2)","(1, 4, 3)","(2, 3, 4)",0.6666666666666666,0.2222222222222222,0.3333333333333333,0.888888889,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""reliable""}']","['{""property"": ""reliable""}']","['{""property"": ""private""}']",{'property': 'reliable'},reliable,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.6666666666666667,{'property': 'reliable'},reliable,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5555555555555556,{'property': 'private'},private,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111
Using literal darkness and light as tools for deconstruction is about as subtle as a train to the face.,a train to the face,train,face,symmetrical,canceled,"(others, canceled, canceled)","(1, 1, 1)","(2, 2, 1)","(4, 4, 5)",0.7777777777777778,0.0,0.7777777777777778,0.811111111,False,0.5555555555555556,0.7777777777777778,"['{""property"": ""safe""}']","['{""property"": ""pleasant""}']","['{""property"": ""useful""}']",{'property': 'safe'},safe,0.0,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,{'property': 'pleasant'},pleasant,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,{'property': 'useful'},useful,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
"Generally the people he's worked with so far have been pretty awesome at work, but occasionally I feel a little like the episode of friends when Rachel, Joey, and Phoebe explain to the others that they can't afford those nice restaurants and evenings out.",the episode of friends,episode,friend,care,canceled,"(canceled, canceled, component)","(1, 1, 4)","(1, 1, 2)","(4, 4, 4)",0.4444444444444445,0.3333333333333333,0.0,1.0,False,0.7777777777777778,0.7777777777777778,"['{""property"": ""serialized""}']","['{""property"": ""fictional""}']","['{""property"": ""serialized""}']",{'property': 'serialized'},serialized,0.3333333333333333,0.5555555555555556,0.0,0.5555555555555556,0.22222222222222227,{'property': 'fictional'},fictional,1.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.0,{'property': 'serialized'},serialized,0.3333333333333333,0.5555555555555556,0.0,0.5555555555555556,0.22222222222222227
"Either you're hitting a server limit, in which case even the worst passwords will take decades or centuries to crack, or you're not and can send an arbitrary number of passwords and any humanrememberable password is about as secure as a plastic padlock.",a plastic padlock,padlock,plastic,hard,canceled,"(canceled, canceled, canceled)","(3, 3, 3)","(5, 5, 5)","(2, 2, 2)",0.7777777777777778,0.0,0.7777777777777778,0.355555556,False,0.3333333333333333,0.7777777777777778,"['{""property"": ""rusty""}']","['{""property"": ""rusts""}']","['{""property"": ""malleable""}']",{'property': 'rusty'},rusty,0.0,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,{'property': 'rusts'},rusts,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,{'property': 'malleable'},malleable,0.3333333333333333,0.0,0.7777777777777778,0.7777777777777778,0.4444444444444445
,hens ' teeth and,tooth,hen,enamel-coated,canceled,"(canceled, others, canceled)","(1, 1, 1)","(5, 4, 5)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""sharp""}']","['{""property"": ""sharp""}']","['{""property"": ""sharp""}']",{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.5555555555555556,{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.5555555555555556,{'property': 'sharp'},sharp,0.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.5555555555555556
"The plate shivered, and Jeremy, after whimpering a little like a punished child, went outside also, got on his knees, and patiently gathered them together again, swinging his head with the pitiable and impotent vengeance of a child.",a punished child,child,punish,inquisitive,canceled,"(canceled, canceled, canceled)","(2, 2, 2)","(4, 4, 4)","(1, 1, 1)",0.5555555555555556,0.3333333333333333,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""innocent""}']","['{""property"": ""obedient""}']","['{""property"": ""innocent""}']",{'property': 'innocent'},innocent,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445,{'property': 'obedient'},obedient,0.5555555555555556,0.3333333333333333,0.0,0.3333333333333333,0.0,{'property': 'innocent'},innocent,0.3333333333333333,0.7777777777777778,0.0,0.7777777777777778,0.4444444444444445
"Thousands of languages can thus have been chattered successively on thousands of territorieslanguages lacking precision, essentially musical, a succession of phrases in which certain sounds only corresponded to realities but these sounds, in spite of their importance, in spite of their utilitarian and representative value, may be supposed to have been at first almost as fugitive as the rest of the speech.",the rest of the speech,rest,speech,refresh,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(3, 5, 5)","(1, 1, 1)",0.4444444444444445,0.3333333333333333,0.7777777777777778,0.533333333,False,0.3333333333333333,0.7777777777777778,"['{""property"": ""prepared""}']","['{""property"": ""complete""}']","['{""property"": ""prepared""}']",{'property': 'prepared'},prepared,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,{'property': 'complete'},complete,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,{'property': 'prepared'},prepared,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
"only just turned twentythree , saqib had been as straight as an arrow growing up , never in trouble and never causing any .",an arrow growing up,arrow,grow,sharp,canceled,"(canceled, canceled, canceled)","(3, 2, 1)","(5, 4, 5)","(1, 1, 1)",0.7777777777777778,0.0,0.7777777777777778,0.0,False,0.0,0.7777777777777778,"['{""property"": ""stationary""}']","['{""property"": ""dead""}']","['{""property"": ""stationary""}']",{'property': 'stationary'},stationary,0.0,0.0,0.0,0.0,0.0,{'property': 'dead'},dead,0.0,0.0,0.0,0.0,0.0,{'property': 'stationary'},stationary,0.0,0.0,0.0,0.0,0.0
,a white blackbird,blackbird,white,black,canceled,"(canceled, canceled, canceled)","(1, 2, 2)","(5, 5, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,,False,0.0,0.8888888888888888,"['{""property"": ""common""}']","['{""property"": ""common""}']","['{""property"": ""typical_color""}']",{'property': 'common'},common,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,{'property': 'common'},common,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,{'property': 'typical_color'},typical_color,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888
we work together like lions in a pride .,lions in a pride,lion,pride,feel,canceled,"(others, canceled, canceled)","(5, 1, 1)","(3, 1, 1)","(4, 3, 4)",0.3333333333333332,0.5555555555555556,0.0,1.0,False,0.8888888888888888,0.8888888888888888,"['{""property"": ""solitary""}']","['{""property"": ""solitary""}']","['{""property"": ""solitary""}']",{'property': 'solitary'},solitary,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,{'property': 'solitary'},solitary,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,{'property': 'solitary'},solitary,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
Then like a bolt from the blue came a cable messagereceived at the little station near the lighthouse.,a bolt from the blue,bolt,blue,functional,canceled,"(others, canceled, canceled)","(1, 2, 1)","(4, 4, 5)","(1, 1, 1)",0.8888888888888888,0.0,0.8888888888888888,0.0,False,0.0,0.8888888888888888,"['{""property"": ""predictable""}']","['{""property"": ""predictable""}']","['{""property"": ""predictable""}']",{'property': 'predictable'},predictable,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,{'property': 'predictable'},predictable,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,{'property': 'predictable'},predictable,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
,a mosquito in ember,mosquito,ember,Bloodsucking,canceled,"(canceled, others, canceled)","(1, 2, 1)","(5, 5, 4)","(1, 1, 1)",1.0,0.0,1.0,,False,0.0,1.0,"['{""property"": ""harmless""}']","['{""property"": ""flying""}']","['{""property"": ""flying""}']",{'property': 'harmless'},harmless,0.0,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.5555555555555556,{'property': 'flying'},flying,0.0,1.0,0.0,1.0,1.0,{'property': 'flying'},flying,0.0,1.0,0.0,1.0,1.0
"to dennis , those holes looked strangely like floating eyes .",floating eyes,eye,float,clear,canceled,"(canceled, canceled, canceled)","(2, 2, 1)","(5, 4, 4)","(1, 2, 2)",0.6666666666666666,0.0,0.6666666666666666,0.344444444,False,0.3333333333333333,0.6666666666666666,"['{""property"": ""visible""}']","['{""property"": ""beautiful""}']","['{""property"": ""blinking""}']",{'property': 'visible'},visible,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.11111111111111105,{'property': 'beautiful'},beautiful,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.33333333333333337,{'property': 'blinking'},blinking,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888
her pleading eyes melted his heart as quick as a glacier on the sun .,a glacier on the sun,glacier,sun,cold,canceled,"(canceled, canceled, canceled)","(1, 1, 1)","(5, 5, 5)","(1, 1, 1)",1.0,0.0,1.0,0.0,False,0.0,1.0,"['{""property"": ""frozen""}']","['{""property"": ""stable""}']","['{""property"": ""stable""}']",{'property': 'frozen'},frozen,0.0,1.0,0.0,1.0,1.0,{'property': 'stable'},stable,0.0,0.3333333333333333,1.0,1.0,1.0,{'property': 'stable'},stable,0.0,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.8888888888888888
