sentence,combination,root,modifier,property,human_label_majority,meta.human_labels,meta.combination_human_relevance,meta.root_human_relevance,meta.modifier_human_relevance,meta.gpt-4o_emergence,meta.combination_gpt-4o_relevance,meta.root_gpt-4o_relevance,meta.modifier_gpt-4o_relevance,meta.toxicity,meta.gpt-4o_indiv_max
Such occasions are as rare as the birth of stars.,the birth of stars,birth,star,rare,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 2)","(5, 3, 5)",0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
"His big voice went on, tolling quietly like a distant bell.",a distant bell,bell,distant,quiet,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(3, 2, 3)","(5, 4, 5)",0.0,0.7777777777777778,0.0,0.7777777777777778,False,0.7777777777777778
"His friend, in her arresting attitude, sat as rigid as a carven woman.",a carven woman,woman,carven,unmove,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 1, 1)","(1, 4, 3)",1.0,1.0,0.0,0.0,False,0.0
We're both in college a guy making a move is usually as blatant as an ostrich on a subway.,an ostrich on a subway,ostrich,subway,absurd,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 1)","(1, 2, 1)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.2222222222222222,False,0.3333333333333333
"It usually doesn't manifest immediately, but up to around 5 to 8 years old and sometimes as late as the early twenties, kids can actually develop incontinence as a result of a hyperactive sphincter.",the early twenties,twenty,early,transitional,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(2, 3, 3)","(3, 5, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
Neither will they be secured by a political party which preaches a certain creed for eight years and then throws it aside like a worn out garment.,a worn out garment,garment,wear,dilapidate,emergent,"(component, emergent, emergent)","(5, 5, 5)","(2, 3, 2)","(5, 3, 4)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
"he did n't much like people with titles , and regarded being a duke as a job description rather than a lever to greatness .",people with titles,people,title,privilege,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 2)","(5, 4, 4)",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
the three of them were caught together like survivors of a shipwreck .,survivors of a shipwreck,survivor,shipwreck,traumatized,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(4, 2, 4)","(4, 3, 4)",0.11111111111111116,0.7777777777777778,0.6666666666666666,0.5555555555555556,False,0.6666666666666666
I am going about like a sheep without a leader.,a sheep without a leader,sheep,leader,lose,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(2, 2, 2)","(3, 3, 2)",0.22222222222222227,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
That way we can mash the two pictures together like a friendship ring.,a friendship ring,ring,friendship,symbolic,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(4, 4, 5)",0.11111111111111105,0.8888888888888888,0.7777777777777778,0.5555555555555556,False,0.7777777777777778
,a church on weekdays,church,weekday,deserted,emergent,"(emergent, component, emergent)","(4, 5, 5)","(2, 2, 3)","(3, 4, 4)",0.33333333333333337,0.5555555555555556,0.2222222222222222,0.1111111111111111,False,0.2222222222222222
,a stream down hill,stream,hill,effortless,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(4, 4, 4)","(5, 2, 3)",0.33333333333333326,0.8888888888888888,0.5555555555555556,0.2222222222222222,False,0.5555555555555556
Daytime temperatures have not risen as fast as nighttime temperatures.,nighttime temperatures,temperature,nighttime,lower,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 4, 4)","(4, 4, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"I mean, I was as poor as any kid in the projects but we were a poor white family on welfare that mostly lived in cars, trailers or whatever low income housingmotel would have us for a few months.",any kid in the projects,kid,project,underprivileged,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 3)","(4, 4, 5)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333
"The general and the girls, having telegraphed for money, had gone to the hotel to wait for the answers, while Bartlett and the Watermelon had remained in the store, Bartlett eager to receive the answer to the joyful congratulations he had sent his broker on the success of his plan, and the Watermelon because he scorned to run away like a whipped cur, preferring Bartlett to know who he was.",a whipped cur,cur,whip,humiliate,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 2, 3)","(4, 3, 3)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
"The night was as dark as the inside of a whale, but the glare of light from the guns on our side gave me direction.",the inside of a whale,inside,whale,dark,emergent,"(component, emergent, emergent)","(5, 5, 5)","(3, 2, 4)","(2, 2, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Every State in the Union has at some time been lauded as the favored spot for the cure of consumption, but, after all, it seems as mythical as the pot of gold at the end of the rainbow.",the pot of gold,pot,gold,mythical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(4, 3, 4)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0
sort of like hypnosis in the movies .,hypnosis in the movies,hypnosis,movie,illusory,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 4, 4)","(3, 4, 3)",0.2222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556,False,0.5555555555555556
"This gentleman, convinced that a silvermine without silver is as rare as an effect without a cause, discovered the sparkle of the precious element deep down in the reasons of things.",an effect without a cause,effect,cause,non,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 1, 1)","(4, 1, 1)",0.0,0.0,0.0,0.0,False,0.0
"Behind the yards the sun was setting, the platform for the pithing of bullocks, and the windlass for raising their carcasses, standing out sharp and black against the flaming sky and still farther to the right, where there were sheepyards also, a small yellow cloud rose against the pink like a pillar of sand.",a pillar of sand,pillar,sand,temporary,emergent,"(emergent, emergent, emergent)","(5, 4, 5)","(1, 2, 2)","(4, 4, 4)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
"i 'll follow you around like a puppy on a leash all damn night , if that 's what it takes . ''",a puppy on a leash,puppy,leash,obedient,emergent,"(component, emergent, emergent)","(4, 4, 5)","(2, 3, 3)","(3, 4, 4)",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"When my husband tries his patented initiate sex maneuver while Aunt Flow is in town, I go as stiff as a weeping angel.",a weeping angel,angel,weep,statue,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(4, 2, 2)","(1, 1, 1)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333
"The letter may have the germ of life in it, but it has no breath of spring to evoke it winter seeds they are, as hard as the winter's soil, as icy as the winter's air, no thawing nor germinating by them.",the winter's soil,soil,winter,lifeless,emergent,"(component, emergent, emergent)","(4, 4, 5)","(3, 2, 2)","(4, 4, 4)",0.22222222222222227,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Now, were Niagara continuous, and without lateral vibration, it would be as silent as a cataract of ice.",a cataract of ice,cataract,ice,awe,emergent,"(emergent, 2, emergent)","(5, 1, 5)","(3, 1, 2)","(2, 1, 3)",0.22222222222222227,0.5555555555555556,0.0,0.3333333333333333,False,0.3333333333333333
"just like the old council , the group of seven broke up .",the old council,council,old,disband,emergent,"(emergent, component, emergent)","(4, 3, 5)","(4, 4, 2)","(2, 2, 4)",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Then like a pawing horse let go, She made a sudden bound It flung the blood into my head,",a pawing horse,horse,paw,restless,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(3, 4, 1)","(4, 3, 1)",0.2222222222222222,0.7777777777777778,0.5555555555555556,0.3333333333333333,False,0.5555555555555556
The next 10 minutes or so was eerily like a calm before the storm moment right before a hurricane wipes out an entire village.,a calm before the storm,calm,storm,anticipatory,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 3)","(4, 4, 3)",0.6666666666666667,1.0,0.0,0.3333333333333333,False,0.3333333333333333
,a falling bomb,bomb,fall,whistle,emergent,"(emergent, emergent, emergent)","(5, 3, 5)","(1, 2, 3)","(3, 2, 4)",0.5555555555555556,0.5555555555555556,0.0,0.0,False,0.0
"But an idea did appear now and again, a bright, solid, sensible idea, lying there like a jewel in a gutter.",a jewel in a gutter,jewel,gutter,unexpected,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 3)","(1, 1, 4)",0.4444444444444445,0.7777777777777778,0.2222222222222222,0.3333333333333333,False,0.3333333333333333
"Their colour was of old ivory, and the long marram grass which grew on them sparsely was as fine as green hair.",green hair,hair,green,unconventional,emergent,"(emergent, component, emergent)","(5, 5, 5)","(1, 4, 2)","(1, 4, 4)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"god , i 'm as easy as a nut to crack .",a nut to crack,nut,crack,difficult,emergent,"(emergent, emergent, emergent)","(5, 5, 4)","(2, 4, 2)","(3, 3, 3)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"One o' them silly gals went off agin just like a damp firework, and Mr. Watson, arter nearly choking 'imself with temper, shoved me out o' the way and marched out o' the shop.",a damp firework,firework,damp,unimpressive,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 3)","(4, 4, 5)",0.4444444444444445,0.7777777777777778,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
"it 's an interesting sight , though it 's not as lethal as a stake through the heart . ''",a stake through the heart,stake,heart,deadly,emergent,"(emergent, emergent, component)","(5, 5, 4)","(4, 4, 3)","(3, 2, 1)",0.6666666666666667,1.0,0.3333333333333333,0.1111111111111111,False,0.3333333333333333
"It was not as attractive as a sleigh with reindeer, but she had often longed to ride in it.",a sleigh with reindeer,sleigh,reindeer,imaginary,emergent,"(emergent, emergent, emergent)","(4, 4, 5)","(2, 1, 2)","(3, 1, 4)",0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,False,0.1111111111111111
That didnt look quite like passion alone.,passion alone,passion,alone,insufficient,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 2)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.2222222222222222,0.3333333333333333,False,0.3333333333333333
"One of the women was like, That's so cute, you look exactly like mormon missionaries. ",mormon missionaries,missionary,mormon,uniformed,emergent,"(component, emergent, emergent)","(4, 3, 5)","(3, 1, 2)","(2, 1, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Doctor, I've found the shape of beauty, and it's not as bright as the sunset, nor is as vast as the northern lights.",the northern lights,light,northern,awe,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 3)","(2, 1, 1)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
Now whenever I hear sounds of a certain pitch such as a child crying I get a buzzing sound in my ear kind of like a membrane vibrating.,a membrane vibrating,membrane,vibrate,auditory,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 3, 3)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Jeannette Catsoulis of The New York Times wrote that despite Hecker capturing knowing images of Florida, she criticized his antiquated screenplay for lacking freshness in its given genre and giving his cast limited caricature parts, concluding that Tilly's fiveminute cameo reminds viewers that comedy without risk is as barren as a prom without a theme.",a prom without a theme,prom,theme,uninspired,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 2)","(4, 4, 4)",0.22222222222222227,0.5555555555555556,0.2222222222222222,0.3333333333333333,False,0.3333333333333333
"He was aware of a colossal beak, curved like a scimitar and pointed wickedly like a tooth of iron.",a tooth of iron,tooth,iron,menacing,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(4, 4, 4)",0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,False,0.1111111111111111
"Now, don't stand laughing there like a great gaby, but come and shake hands.",a great gaby,gaby,great,garrulous,emergent,"(emergent, component, emergent)","(4, 5, 5)","(3, 4, 1)","(2, 2, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.0,False,0.3333333333333333
"We'll be back to just pure numbers, as pure as economic numbers can be.",economic numbers,number,economic,fluctuating,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 3, 2)","(4, 5, 5)",0.0,0.7777777777777778,0.3333333333333333,0.7777777777777778,False,0.7777777777777778
im as dry as a forbidden zone .,a forbidden zone,zone,forbidden,desolate,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(2, 3, 2)","(3, 2, 3)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
she could be as poor as a church mouse and it did n't make any difference to him .,a church mouse,mouse,church,poverty,emergent,"(emergent, emergent, emergent)","(5, 4, 4)","(2, 2, 2)","(3, 3, 2)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333
"Let cultured men plow and reap, and plowing and reaping will become as dignified as the learned professions.",the learned professions,profession,learn,esteem,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 2)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
"When my husband tries his patented initiate sex maneuver while Aunt Flow is in town, I go as stiff as a weeping angel.",a weeping angel,angel,weep,terrify,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(1, 1, 2)","(1, 2, 2)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0
You are looking as fresh as the prairie after the rain.,the prairie after the rain,prairie,rain,vibrant,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 4)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.0,False,0.3333333333333333
"I like how there's rhythm in your poem as well, makes it sounds almost like music in the head while reading!",music in the head,music,head,internal,emergent,"(emergent, emergent, component)","(5, 5, 5)","(3, 1, 2)","(4, 1, 5)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333
"Through the entire length of this member there runs a slit, which pierces so deeply into its surface, as almost to divide it into two longitudinal sections this performs the office of a canal for the liquor of which the threads are formed, and serves to mould them into their proper form the canal appears externally like a small crack, being almost covered by the flesh from either side, but internally it is much wider, and surrounded by circular fibres.",a small crack,crack,small,superficial,emergent,"(component, emergent, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 3, 4)",0.2222222222222222,0.7777777777777778,0.5555555555555556,0.3333333333333333,False,0.5555555555555556
"The wound certainly was mainly like a blow from a gunstock, admitted Bolderwood.",a blow from a gunstock,blow,gunstock,harmful,emergent,"(component, emergent, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 2)",0.33333333333333326,0.8888888888888888,0.5555555555555556,0.5555555555555556,False,0.5555555555555556
It is just like the girls in books!,the girls in books,girl,book,imaginary,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(1, 2, 1)","(2, 3, 4)",1.0,1.0,0.0,0.0,False,0.0
"Then they should, but don't, ticket for SLOW acceleration...it's as dangerous as FAST acceleration.",FAST acceleration,acceleration,fast,dangerous,emergent,"(emergent, emergent, emergent)","(4, 5, 5)","(2, 4, 3)","(2, 3, 4)",0.22222222222222227,0.5555555555555556,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
Bill Tompkins of The Battle Creek Enquirer and News wrote that local viewers found WZZM about as elusive as a flying saucer.,a flying saucer,saucer,fly,mysterious,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 2, 2)","(3, 3, 3)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.2222222222222222,False,0.3333333333333333
"Cooney was as hangdog a looking rascal as it was well possible to conceive, but the gipsy had no other person to send upon whom he could relyhis messenger was by no means a foolalthough of a common coarse type and as ignorant as a hack horse but he was artful and was not easily cornered, to make use of an American phrase, so away he went upon his mission.",a hack horse,horse,hack,uninspire,emergent,"(emergent, emergent, emergent)","(3, 4, 4)","(3, 2, 2)","(4, 4, 4)",0.22222222222222227,0.5555555555555556,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
"As it is, your plans must be somewhat like castles in the air.",castles in the air,castle,air,imaginary,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 5)","(2, 4, 4)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111
,a highlight reel,reel,highlight,fast-paced,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 2)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
no longer like drying clay his organs came back to life like flowers soaking the soils summer rain .,drying clay,clay,dry,rigid,emergent,"(component, emergent, emergent)","(5, 5, 4)","(2, 2, 2)","(4, 4, 3)",0.5555555555555556,0.8888888888888888,0.0,0.3333333333333333,False,0.3333333333333333
"After all our care and forethought, after all our struggles, after all our success, to perish miserably like moths in a candle, to plunge headlong into that immense conflagration as a vessel dives into the ocean, and is never heard of more!",moths in a candle,moth,candle,destroy,emergent,"(2, emergent, emergent)","(3, 4, 4)","(3, 2, 3)","(2, 3, 2)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.1111111111111111,False,0.3333333333333333
"In strict accordance with the traditions of the navy, he wore kid gloves, without which a naval officer, on a ceremonial occasion, would be as incomplete as a ship without a rudder.",a ship without a rudder,ship,rudder,directionless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 1, 2)","(4, 1, 1)",0.8888888888888888,1.0,0.1111111111111111,0.0,False,0.1111111111111111
"and what do the gods do , being the sumerian gods , being about as smart as a bunch of water buffalothey make an equal for gilgamesh in a wild man called enkido , who is covered with hair , lives in the woods , and likes to drink with beastsoh , it is so important in this world with whom one eats and drinks and what !",a bunch of water,bunch,water,heavy,emergent,"(emergent, emergent, 2)","(5, 4, 1)","(1, 2, 1)","(4, 5, 1)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"Bugs in a Bowl Han Shan, that great and crazy, wonderfilled Chinese poet of a thousand years ago, said We're just like bugs in a bowl.",bugs in a bowl,bug,bowl,confine,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(4, 3, 5)",0.22222222222222227,0.5555555555555556,0.2222222222222222,0.3333333333333333,False,0.3333333333333333
"Bertha ate sparingly, for her heart was as swollen as a sponge in water.",a sponge in water,sponge,water,swollen,emergent,"(emergent, component, emergent)","(5, 5, 5)","(4, 4, 3)","(3, 4, 4)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333
And maybe like a voice from the grave she will help us figure this out.,a voice from the grave,voice,grave,otherworldly,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 2)","(4, 4, 5)",0.5555555555555556,0.8888888888888888,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"A line of kopjes stood up before us, rising out of the bare plain like islands out of the sea, and as we rounded the point and opened up the inner semicircle of hills, we could distinguish the white waggon tops of the Boer laager in a deep niche in the hillside, and see the men collecting and mounting and galloping about.",islands out of the sea,island,sea,elevate,emergent,"(emergent, emergent, emergent)","(4, 5, 4)","(2, 4, 2)","(1, 1, 1)",0.6666666666666667,1.0,0.3333333333333333,0.0,False,0.3333333333333333
he could feel his skin begin to tighten around his skull and knew full well that a headache was brewing as surely as the rain in the air .,the rain in the air,rain,air,impend,emergent,"(emergent, emergent, emergent)","(4, 4, 5)","(3, 3, 4)","(2, 4, 3)",0.33333333333333326,0.8888888888888888,0.5555555555555556,0.0,False,0.5555555555555556
Excess of righteousness must be sinfulalmost as sinful as lack of righteousness.,lack of righteousness,lack,righteousness,sinful,emergent,"(emergent, component, emergent)","(5, 5, 5)","(3, 3, 4)","(5, 5, 3)",0.8888888888888888,0.8888888888888888,0.0,0.0,False,0.0
"i was about as intelligent as an ape with a crayon compared to even a layman of this era , and yet i was still deemed fit to be instructed .",an ape with a crayon,ape,crayon,unskille,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 4, 2)","(2, 2, 1)",0.5555555555555556,0.7777777777777778,0.2222222222222222,0.0,False,0.2222222222222222
"Knowing that only one side of the Boonesborough palisade had been completed, and that the warparty was five times as strong as the population of the hamlet, he thought to delay operations by strategy.",the population of the hamlet,population,hamlet,limit,emergent,"(component, emergent, emergent)","(5, 5, 4)","(4, 4, 3)","(3, 5, 3)",0.0,0.3333333333333333,0.5555555555555556,0.0,False,0.5555555555555556
"That font is nearly as bad as comic sans, I'd forgive anyone for losing their sensibilities when trying to read that mess.",comic sans,san,comic,unprofessional,emergent,"(emergent, component, emergent)","(5, 5, 5)","(1, 1, 1)","(3, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
"A market turns, investors and the greater community begin to lose faith, and it's almost like a run on a bank?",a run on a bank,run,bank,panic,emergent,"(component, emergent, emergent)","(4, 5, 5)","(3, 2, 2)","(1, 1, 3)",0.33333333333333326,0.8888888888888888,0.5555555555555556,0.3333333333333333,False,0.5555555555555556
"Lizzie, was such a love as mine to be thrown away like a used glove?",a used glove,glove,use,discard,emergent,"(emergent, emergent, emergent)","(4, 4, 4)","(2, 2, 2)","(3, 4, 3)",0.0,0.3333333333333333,0.3333333333333333,0.0,False,0.3333333333333333
Just like any bucking horse.,any bucking horse,horse,buck,unpredictable,emergent,"(emergent, component, emergent)","(5, 5, 5)","(3, 4, 3)","(5, 5, 4)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
The way your Aunt Lavinia treated him was as funny as a cock without feathers.,a cock without feathers,cock,feather,absurd,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(1, 1, 2)",0.5555555555555556,0.7777777777777778,0.2222222222222222,0.0,False,0.2222222222222222
"the three inebriated individuals were about as sober as the guy behind the counter within 15 minutes, still fanning their mouths.",the guy behind the counter,guy,counter,service,emergent,"(component, emergent, emergent)","(5, 5, 4)","(2, 3, 2)","(4, 4, 4)",0.2222222222222222,0.7777777777777778,0.3333333333333333,0.5555555555555556,False,0.5555555555555556
An aeroplane in these hills will be just about as useful as a Dreadnought in a millpond.,a Dreadnought in a millpond,dreadnought,millpond,useless,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(2, 1, 2)","(1, 1, 3)",0.5555555555555556,0.8888888888888888,0.1111111111111111,0.3333333333333333,False,0.3333333333333333
The two senses of the word law come in so as to look almost like a play upon words.,a play upon words,play,word,clever,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 3)","(2, 3, 2)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
Pity I could see her as easily as a light in the night.,a light in the night,light,night,noticable,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(4, 5, 4)","(3, 4, 3)",0.0,0.8888888888888888,0.8888888888888888,0.3333333333333333,False,0.8888888888888888
"It was not as attractive as a sleigh with reindeer, but she had often longed to ride in it.",a sleigh with reindeer,sleigh,reindeer,fantastical,emergent,"(emergent, emergent, emergent)","(5, 5, 5)","(3, 3, 2)","(4, 4, 4)",0.4444444444444445,0.7777777777777778,0.3333333333333333,0.3333333333333333,False,0.3333333333333333
